fy,edition,document,pages,table,kind,source,detail
2014,FY2014,4120-fy-2014-annual-town-report.pdf,,,note,surprise,"Community Policing grants from federal fiscal 1996, 1997 and 1998 are still open in FY2014 at $0.66, $1.97 and $6.55 - the identical balances they carried in FY2013, sixteen to eighteen years after the grants ended."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,,,note,surprise,"A single January 2014 Special Town Meeting article, passed on a 5-1 Finance Committee recommendation and confirmed by a 1,414-543 debt exclusion vote on a 28% turnout, authorised $72,975,321 of borrowing - more than three times the town's entire existing long-term debt of $22.1M and more than twice its annual operating budget."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,,,page numbering,surprise,"Two tables on the SAME PAGE (35) use different tax rates for the same fiscal year: the Valuation and Tax History table gives FY2013 as 17.30 while the New Growth Revenue table applies 16.83 to FY2013 - and the FY2013 report's own history table ends its rate series at 16.83, so the two years' history tables are offset by one year against each other."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,35,"Valuation and tax rate history, nine years",page numbering,table note,"The FY2013 report's own version of this history table ends its tax-rate run at 16.83, i.e. it is offset by one year against this one."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,102,Lunenburg Primary School faculty and staff roster,two figures differ,table note,"The three-column layout interleaves in the text layer, so 'Central Office: / Elaine Blaisdell - Principal / First Grade: / 1A - Michael Courtemanche / Special Education / Karen Rash' is three different columns' worth of one horizontal band - reconstructing requires x-positions."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,107,"Lunenburg High School MCAS results, grades 8 and 10",two figures differ,table note,MIND THE HEADINGS: the grade 8 table is labelled 2014 and the grade 10 table is labelled 2013 - two different testing years printed side by side in the same report.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,139-141,FY2015 Omnibus Budget as voted,two figures differ,table note,"IMPORTANT: like FY2013's report, this prints a FORWARD budget - FY2015 - inside the FY2014 report, so this document contains three different fiscal years of figures (FY2014 actuals, FY2015 voted, and FY2013 comparatives in the assessor tables)."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,167,Board and committee meeting schedule,two figures differ,table note,School Committee meets twice a month in two different buildings.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,22,"Receipts by revenue account, FY2014",two figures differ,table note,"Extraction caveat: because it is three column-pairs on one line, a naive line parse will merge three different accounts."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,35,New growth revenue by fiscal year,two figures differ,table note,"Also the FY2012 figure differs from the FY2013 report: here FY2012 added valuation is 27,729,619 / 448,111 new revenue / +137.43%, whereas the FY2013 report's series has no such row."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,6,Lunenburg town profile facts,two figures differ,table note,NOTE the narrative on the very next page says '26.4 square miles' - the two pages disagree.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,,,unreadable / OCR damage,surprise,"The whole Monty Tech section (pages 111-129) is not written for this report at all - it is the regional school district's OWN separately designed '2013 - 2014 Annual Report', cover page and address block included, dropped in whole. That is why it is the only OCR'd content in an otherwise born-digital document: it was scanned back in from a printed booklet."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,114,"Monty Tech member towns, leadership and enrollment by town",unreadable / OCR damage,table note,"OCR damage: several administrator first names are corrupted ('kristina Fazeau', 'im Hachey', 'Richard Itone', 'Katy Fhitaker'), 'Lumenburg' for Lunenburg, and '(T7)' for Westminster's 77."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,116,"Monty Tech MCAS results, three years by subject",unreadable / OCR damage,table note,One value is OCR'd as '2%%'.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,116,"Monty Tech MCAS results, three years by subject",unreadable / OCR damage,table note,"FY2013's version of this table had its YEAR column mangled beyond use ('2017,', '4013', '2143.'); here the years are clean, so FY2014's table can be used to correct FY2013's."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,117-128,"Monty Tech vocational program enrollments, by program",unreadable / OCR damage,table note,Heavy OCR damage on several paragraph openers makes some program names unreliable ('Auto Bode Collepon Repai').
2014,FY2014,4120-fy-2014-annual-town-report.pdf,129,Monty Tech District School Committee membership,unreadable / OCR damage,table note,OCR damage on several names ('Buton E.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,167,Board and committee meeting schedule,unreadable / OCR damage,table note,"Compare FY2013 page 5, where the same information is OCR-scrambled and unusable."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,175,Town office hours and phone numbers,unreadable / OCR damage,table note,"Compare FY2013 page 4, where the same content is OCR-scrambled into unusable runs."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,22,"Receipts by revenue account, FY2014",unreadable / OCR damage,table note,THE FY2013 VERSION OF THIS TABLE HAD ITS THIRD COLUMN OF AMOUNTS CLIPPED OFF THE PAGE.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,35,"Exemptions, abatements and overlay, five years",unreadable / OCR damage,table note,"Assessor's Overlay 145,256.60 / 156,740.57 / 141,918.23 / 124,378.48 / 141,582.64 - the FY2013-FY2010 values match the FY2013 report exactly, so the two years' figures are consistent here even though the layout is transposed."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,43-44,Collection of taxes,unreadable / OCR damage,table note,Several rows in the FY2013 report's mangled version can be matched to these labelled rows by their forward balances.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,48,"Burials in town cemeteries, by month",unreadable / OCR damage,table note,"Cemetery is a one-letter code, N or S (North / South), which is readable here - in FY2013's OCR version the same column is unreadable noise."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,69-70,Nashoba environmental health service counts,unreadable / OCR damage,table note,"Every count is readable, unlike FY2013's OCR version: Environmental Information Responses Lunenburg Office (days) 76;"
2014,FY2014,4120-fy-2014-annual-town-report.pdf,76,Fire Department roster,unreadable / OCR damage,table note,FY2013's equivalent roster was OCR-scrambled and its footnote appeared on a different page.
2015,FY2015,4121-fy-2015-annual-town-report.pdf,,,announced but absent,surprise,"The Salary Schedule for FY2016 is announced by heading on p198 and then simply not printed -- the grade/step dollar grid is missing from the document, while the classification list that references it is complete."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,206-211,Town and school employee compensation,announced but absent,table note,"Selectmen appear at $100.00 each; the Superintendent at $136,578.97; the Town Manager appears twice under different names (LAFLEUR is absent, SPEIDEL KERRY TOWN MANAGER 130,102.20)."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,212,Board and committee meeting schedule,announced but absent,table note,"A record of which boards were active in 2015 -- the Building Reuse Committee and School Building Committee, both active per pp11 and 15, are absent from this schedule."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,81,Fire department call volume by type,does not sum,table note,"These sum to 1,980, not the 1,985 stated -- the breakdown does not tie to its own printed total."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,,,duplicated,surprise,"Roughly ten pages of the town meeting section (pp144-153, and again pp154-166) reprint the same Architectural Preservation District bylaw and Village Center District zoning bylaw twice over -- the as-submitted and as-amended texts both in full, without either being labelled as a duplicate."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,137-179,"Annual town meeting article votes, May 2, 2015",duplicated,table note,"NOTE: the APD bylaw text appears TWICE (pp144-148 as Article 26's motion and pp149-153 as the amended version), and the Village Center parking and dimensional tables appear twice as well (p157 and p163) -- roughly ten pages of this section are a near-duplicate of another ten."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,,,no heading,surprise,"Two of the biggest tables carry their page title at the BOTTOM of the page rather than the top: the FY2015 receipts table (p22) and the Treasurer's cash statement (p37, whose total line dates itself 6/30/14 while the heading says 6/30/2015). The employee compensation table (pp206-211) has no heading at all."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,140-141,FY2016 omnibus budget as voted,no heading,table note,"The heading 'FY 2016 Omnibus Budget' prints only once, at the top left of p140; p141 carries no heading at all."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,206-211,Town and school employee compensation,no heading,table note,THIS TABLE HAS NO HEADING AND NO PRINTED TOTAL -- a heading-driven search will not find it at all.
2015,FY2015,4121-fy-2015-annual-town-report.pdf,,,note,surprise,"Page 87 carries a benchmarking chart comparing Lunenburg's police arrests, incidents and officer counts against twelve named Massachusetts towns with their populations -- a peer-comparison dataset in a town report, and one whose numbers cannot be reattached to their towns from the text layer."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,,,note,surprise,"The election results on pp201-202 do not internally reconcile: the School Committee contest prints a TOTAL row of 4,034 votes while its own candidate rows sum to 247, and the Cemetery Commissioner's winning candidate is credited with 1,478 votes in a contest whose TOTAL row says 247."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,,,note,surprise,"The special education report on p103 publishes exactly the out-of-district placement COUNT that dollar-based analysis cannot recover -- thirty students as of 1 March 2015, split nine collaborative, fifteen day, six residential."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,,,note,surprise,"The fire department's own call breakdown does not sum to its own stated total: 483 + 967 + 493 + 37 = 1,980 against a stated 1,985 calls."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,,,note,surprise,The DPW report states the town has 86 miles of paved streets while the town profile on p6 says 'ROAD MILES- ABOUT 100'.
2015,FY2015,4121-fy-2015-annual-town-report.pdf,35,"Assessor's overlay, exemptions and abatements, five years",stale / copied forward,table note,One row label is stale: 'Charges to 6/30/2010' heads a column series running through FY2015 -- the label was not updated when the table was rolled forward.
2015,FY2015,4121-fy-2015-annual-town-report.pdf,,,two figures differ,surprise,"The report contains three different district enrollment totals on three consecutive pages (1,595 as of 19 Feb 2016 on p101; 1,567 on p103; 503 for the Primary School as of 1 Oct 2015 on p105 against 516 in the p101 table), each measured on a different date and none of them flagged as different."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,101,District enrollment by grade and residency,two figures differ,table note,"Three different enrollment totals in three adjacent pages, each measured on a different date."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,"107-108 (Primary), 110-111 (THMS), 114-115 (LHS)",School faculty and staff rosters,two figures differ,table note,"THREE separate rosters under three different headings, spanning six pages -- a heading search for one form of the phrase will find some and miss others."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,113,"Lunenburg High School MCAS results, grades 8 and 10",two figures differ,table note,"Grade 8 is tested at the HIGH SCHOOL here (grade 8 was housed at LHS in this configuration) while grades 4-7 were at the middle school -- so the district's MCAS results are split across three separate tables on three pages under three different headings, with different column names each time."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,201-202,Annual town election results by precinct,two figures differ,table note,"The data is internally inconsistent and should be treated with care: SCHOOL COMMITTEE prints 'TOTAL 1128 872 964 1070 4034' while its candidate, all-others and blanks rows sum to 247;"
2015,FY2015,4121-fy-2015-annual-town-report.pdf,203,FY2016 elected officials by term expiry,two figures differ,table note,"This list differs from the p9-10 elected officials list, which is the pre-election slate -- the report carries both."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,206-211,Town and school employee compensation,two figures differ,table note,"Department codes are free text and inconsistent: SCHOOL, POLICE, FIRE, DPW, COA, LIBRARY, ACCT, IT, PARK, CEMETERY, BUILDING, HEALTH, WIRING, PLUMB/GAS, LAND USE, PLANNING, SELECTMEN, REGISTRATIONS, TOWN MANAGER, VETERAN SERV, TAX WORKOFF."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,6,Town profile facts,two figures differ,table note,The DPW report on p56 separately says '86 miles of paved streets' -- two different road-mile figures in one document.
2015,FY2015,4121-fy-2015-annual-town-report.pdf,198,"Salary schedule for fiscal year 2016 -- HEADING ONLY, TABLE ABSENT",unreadable / OCR damage,table note,"This is a genuine omission, not an OCR failure -- p198 is 'plain' mode with 16 recovered lines and the next page (199) starts the next town meeting article."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,22,FY2015 receipts by revenue source,unreadable / OCR damage,table note,"Reading order interleaves the three columns, so a naive line parse mixes unrelated sources."
2015,FY2015,4121-fy-2015-annual-town-report.pdf,35,Assessments and revenues by major property class,unreadable / OCR damage,table note,"The Industrial valuation prints as '20,155.100' with a decimal point where a comma belongs (an OCR or typesetting error); the value should read 20,155,100 for the column to sum to the printed total."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,1,FY2016 receipts by revenue source -- complete version,announced but absent,table note,"Also present here and absent from the main report: STATE REVENUE lines SMART GROWTH SCHOOL COST REIMB, SEC 2D CH 29 LOTTERY BEANO, MSBA REIMB-SCHOOL, SCHOOL TRANSPORTATION, ZONING INCENTIVE PAYMENT, VETERANS BENEFITS REIMBURSEMENT, LOCAL OPTION MEALS TAX, TRAILER PARKS, RESCUE WAGON, MEADOW WOODS WATER PRINCIPAL and INTEREST, STREET BETTERMENTS and INTEREST; and FEES lines SEALING FEES, PRE-SCHOOL TUITION, CONSTABLE FEES, VOTING LISTS, plus a whole DEPARTMENTAL REVENUE block (SUBDIVISION/FORM A FILING FEES, PLANNING BOARD FEES/PERMITS, WETLANDS BYLAWS, STUDENT PARKING FEES, ZONING BOARD FILING FEES, CEMETERIES BURIALS, COPIER FEES, WETLANDS FILING FEES, WETLANDS ADVERTISING FEE, RENTAL OF OFFICE SPACE, RESEARCH FEES, POLE LOCATIONS, RECORDING FEES, FORM OF INTENT-BUSINESS) and FINES & FORFEITS (PARKING FINES, COURT FINES, DOG FINES)."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,198-202,Town and school employee compensation -- INCOMPLETE IN THIS DOCUMENT,announced but absent,table note,TWO DEFECTS. (1) THE LIST STARTS AT 'BENOIT MATTHEW' -- every surname from A through BEND is absent.
2016,FY2016,4123-fy-2016-annual-town-report.pdf,58,"Cultural Council grant requests and awards -- HEADING ONLY, TABLE ABSENT",announced but absent,table note,"The page is 'plain' extraction mode with three recovered lines, so this is an absent table rather than an OCR failure -- but confirm against the page image before concluding, since the table could be a pasted picture."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,81-82,Nashoba environmental health department activity counts,announced but absent,table note,ONE COUNT IS MISSING FROM THE PAGE: 'Septic System Construction Inspections...........' prints with its dotted leader and no number (FY2015 gave 110).
2016,FY2016,4123-fy-2016-annual-town-report.pdf,81-82,Nashoba environmental health department activity counts,announced but absent,table note,The Rabies Clinics line present in FY2015 is absent this year.
2016,FY2016,4123-fy-2016-annual-town-report.pdf,82-84,"Nashoba nursing, community health and dental activity counts",announced but absent,table note,"Lyme Disease, which was 6 in FY2015, is absent from the FY2016 list entirely."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,38,"New growth revenue, seven years",continues elsewhere,table note,"And FY2016's rate column prints 18.32, which is the FY2015 rate, continuing the same one-year rate offset the FY2015 report had."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,9-12,Collection of taxes -- receivables summary -- complete version with grand total,continues elsewhere,table note,"The FORWARD grand total $8,785,059.19 exactly equals the FY2015 report's own CLOSING grand total for the same table (FY2015 p45, 'GRAND TOTAL ... $8,785,059.19'), so the two years chain and the FY2016 figure can be checked against the prior report. p11 covers the user-charge, utility-lien and betterment sections; p12 carries only the last row (SEPTIC COMMITTED INT) and the GRAND TOTAL."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,does not sum,surprise,"The Board of Assessors' Abstract of Assessments prints last year's total. 'TOTALS 5,008 1,027,856,023' -- the account count updated but the valuation is character-for-character the FY2015 figure, and the FY2016 class rows do not sum to it."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,188-191,"Presidential primary results, March 1, 2016",does not sum,table note,"The Republican town committee contest carries 45,963 blanks against 58,555 total votes -- the report prints the arithmetic of a 15-seat 'vote for many' contest without saying so. p191 also carries the SPECIAL STATE ELECTION for Precinct B only: Stephan Hay 399, Dean Tran 440."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,37,Assessments and revenues by major property class,does not sum,table note,"TWO DEFECTS. (1) The Residential row prints its Valuation by Class as '21,174,263.21' -- a levy-sized number with cents, where the other rows carry whole-dollar valuations in the tens of millions; the class valuations as printed do not sum to the printed total 1,199,604,323. (2) The Open Space row present in FY2015 is absent entirely, so only four classes are listed against FY2015's five."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,,,duplicated,surprise,"The addendum's Special Revenue Funds reprint is cleaner in structure than the main report's (which duplicates a page) but dirtier in digits (533,108.96 for 33,108.96, 'CHEck or Ticket' for 'GHSB Click It Or Ticket'), so neither copy is authoritative on its own -- the two have to be read against each other."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,duplicated,surprise,"The report is materially incomplete, and an addendum exists to fix it. FIVE major tables are truncated or missing rows here -- the FY2016 receipts page loses its whole third column including the SUMMARY OF RECEIPTS and GRAND TOTAL; the Collection of Taxes table loses its ABATEMENTS, TRANSFER and BALANCES columns and its GRAND TOTAL, with the printed column header visibly shrinking from eight names on p47 to five on p48 to four on p49; the debt repayment schedule's last page carries a wrong FISCAL YEAR header; the employee compensation list starts part-way through the alphabet at BENOIT; and the Special Revenue Funds and employee compensation tables each contain a duplicated page."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,duplicated,surprise,"The number of registered voters on the profile page (7115) is identical to FY2015's, in a year when 6,440 people voted in the November election and the Republican town committee ballot alone recorded 58,555 votes cast."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,123,Monty Tech enrollment by member town,duplicated,table note,"CAUTION: the admissions figures on the following page (631 applications received, 575 for the freshman class, 338 freshmen and 3 upperclassmen admitted, ~600 V.I.P. students served) are IDENTICAL to the FY2015 report's, digit for digit, and appear to have been copied forward rather than updated."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,2-6,Special revenue funds -- complete version,duplicated,table note,"The figures agree with the main report's version wherever both are legible, so this is a genuine reprint rather than a correction of the numbers."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,2-6,Special revenue funds -- complete version,duplicated,table note,"WHAT IT FIXES is the main report's DUPLICATED PAGE 32 -- the addendum's sequence has no duplicate, so it is the safer source for a row count."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,2-6,Special revenue funds -- complete version,duplicated,table note,USE THE MAIN REPORT FOR THE FIGURES AND THIS FILE ONLY TO CONFIRM THAT PAGE 32 IS A DUPLICATE.
2016,FY2016,4123-fy-2016-annual-town-report.pdf,23,FY2016 receipts by revenue source -- TRUNCATED IN THIS DOCUMENT,duplicated,table note,The full page IS reprinted in the FY2016 ADDENDUM at addendum p1 -- see that file.
2016,FY2016,4123-fy-2016-annual-town-report.pdf,31-35,"Special revenue funds -- balances, receipts and disbursements",duplicated,table note,"PAGE 32 IS A DUPLICATE: it repeats, without a header, exactly the rows that page 33 prints with a header (Tech Prep Consortium through Community Policing FY 96)."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,31-35,"Special revenue funds -- balances, receipts and disbursements",duplicated,table note,The same table is reprinted in full in the FY2016 ADDENDUM (addendum pp2-6).
2016,FY2016,4123-fy-2016-annual-town-report.pdf,37,"Valuation and tax history, seven years",duplicated,table note,"The overlapping rows (2010-2015) are identical to FY2015's, so the series can be stitched across the two reports."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,64-65,Finance Committee budget message,duplicated,table note,"Its own header says '(This is a reprint of the message printed in the May 7, 2016 Annual Town Meeting warrant)' -- but every other page in the report dates that meeting May 5, 2016."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,7,Elected officials -- state and federal,duplicated,table note,Substantively identical to FY2015 p8.
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,,,no heading,surprise,"The document has no title page, no headings of its own, no page numbers and no explanation. Nothing in it says it is an addendum or what it is fixing -- that has to be worked out by matching its tables against the main report's truncated ones."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,198-202,Town and school employee compensation -- INCOMPLETE IN THIS DOCUMENT,no heading,table note,"This table has no heading and no printed total in either year, so a heading-driven search will not find it at all."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,,,note,surprise,"The single most valuable thing in it -- the GRAND TOTAL row of the FY2016 Collection of Taxes table -- appears nowhere else, and its FORWARD figure ($8,785,059.19) ties exactly to the closing figure of the same table in the FY2015 report, so the two years reconcile once this file is in hand."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,,,note,surprise,"The employee compensation pages recover surnames and department codes but not a single dollar amount, which makes the addendum's most personally identifying content also its least usable."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,note,surprise,"The Town Manager's report calls the FY2017 budget the FY2018 budget twice on page 18 -- 'passed a balanced budget for FY 2018 with an omnibus budget of $33,802,328' -- while the article that adopted that exact figure (p144) says FY2017."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,note,surprise,"The cemetery page prints a formal erratum against the previous year's report: 'Note: Correction to the 2015 Town Report: *James E. Steele, 84, North Cem. Korea/Vietnam Veteran / *Merelyn P. Foster Age 92 North Cem. Cremation'. It is the only place in either year where the town corrects its own published record."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,note,surprise,"The out-of-district special education placement count -- the number dollars cannot recover -- fell from thirty to nineteen in one year, and the report says so itself: 'nineteen (last year was thirty)', four collaborative, twelve day, three residential."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,note,surprise,"The fire department publishes a genuine workforce-tenure dataset: 52 call firefighters left over 2006-2016 against 24 retained, 47% of the department with 5 years' service or less, 29% with 20 or more."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,note,surprise,"The town election results are internally consistent this year and were not last year. Every FY2016 contest sums to 363 ballots; the FY2015 equivalent had a School Committee contest printing a total of 4,034 against candidate rows summing to 247."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,38,"Assessor's overlay, exemptions and abatements",stale / copied forward,table note,The 'Charges to 6/30/2016' row label was updated this year (it read 'Charges to 6/30/2010' in FY2015 -- a stale label finally corrected).
2016,FY2016,4123-fy-2016-annual-town-report.pdf,6,Town profile facts,stale / copied forward,table note,"REGISTERED VOTERS-7115 is UNCHANGED from the FY2015 report, which is implausible in a year with a presidential election that drew 6,440 ballots -- the line appears to have been copied forward."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,two figures differ,surprise,"Three sections of the same report disagree about the date of the town's own annual town meeting: the section heading and running head say May 5, 2016, while the Town Manager's report (p18), the Finance Committee's message (p64) and the August special town meeting's own Article 1 all say May 7, 2016."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,,,two figures differ,surprise,"A $4,000,000 debt exclusion for the Pavement Management Plan appears three times in three different forms and is never cross-referenced: as an authorised-unissued-debt line on p43, as a ballot question on p193 (passing 181 to 127 on 363 ballots), and as narrative on pp18 and 65."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,125-137,Monty Tech vocational programme enrollment by sex,two figures differ,table note,Same format and the same inconsistent punctuation.
2016,FY2016,4123-fy-2016-annual-town-report.pdf,141-173,"Annual town meeting article votes, May 5, 2016",two figures differ,table note,"The Town Manager's report on p18 and the Finance Committee's on p64 both date this meeting May 7, 2016, and the August special town meeting's Article 1 also refers to 'Article 15 of the May 7, 2016 Annual Town Meeting' -- so three sections of this report disagree with the section heading on the date of the town's own annual meeting."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,198-202,Town and school employee compensation -- INCOMPLETE IN THIS DOCUMENT,two figures differ,table note,"Department codes are free text and inconsistent, as in FY2015."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,38,"Assessor's overlay, exemptions and abatements",two figures differ,table note,"The columns differ from FY2015's, which carried five named fiscal years; this year carries three years plus 'Prior Years' and a 'Totals' column."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,38,"New growth revenue, seven years",two figures differ,table note,THREE FIGURES DISAGREE WITH THE FY2015 REPORT'S VERSION OF THE SAME ROWS.
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,,,unreadable / OCR damage,surprise,"It exists because the FY2016 report was published with five financial tables physically cut off at the right margin. The evidence is in the main report itself: the Collection of Taxes column header shrinks from eight column names on page 47 to five on page 48 to four on page 49, and then the table simply stops with no grand total."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,,,unreadable / OCR damage,surprise,"The second most valuable thing -- the GRAND TOTAL of FY2016 receipts -- is in this document as a printed label but its VALUE was not recovered by OCR, so the town's total FY2016 revenue figure is not machine-readable in either PDF and has to be read off a page image."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,174-176,FY2016 omnibus budget,unreadable / OCR damage,table note,"THIS IS THE SAME TABLE THE FY2015 REPORT PRINTED ON ITS PAGES 140-141, and the grand total agrees exactly ($32,025,895.00) -- but this version is a clean single-column list where the FY2015 version was a two-up landscape sheet the OCR interleaved beyond use."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,198-202,Town and school employee compensation -- INCOMPLETE IN THIS DOCUMENT,unreadable / OCR damage,table note,"The missing beginning is supplied by the FY2016 ADDENDUM at addendum pp13-17, though the OCR there recovers names and departments only, not amounts."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,2-6,Special revenue funds -- complete version,unreadable / OCR damage,table note,"WHAT IT COSTS is OCR quality: this version drops many fund NAMES entirely (a line begins with the numbers and no label -- e.g. '$26,050.14 $396,270.67 $410,580.86 $11,739.95' is School Lunch, unnamed), and it introduces digit errors the main report does not have ('533,108.96' for $33,108.96 in School Facilities Use receipts; '$63.086.73' for $63,086.73; '$254,512.23 $286.673.00'; 'CHEck or Ticket' for 'GHSB Click It Or Ticket'; '(1.,964.05)')."
2016,FY2016,4123-fy-2016-annual-town-report.pdf,47-49,Collection of taxes -- receivables by levy year -- TRUNCATED IN THIS DOCUMENT,unreadable / OCR damage,table note,Page 50 of this PDF has no text layer and no OCR and is likely where the rest sat.
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,7-8,Debt repayment schedule to FY2047 -- complete version,unreadable / OCR damage,table note,"The OCR is badly degraded: year labels are wrong in places ('2028.' with a stray full stop, and two lines both labelled '2012' which cannot be right for a schedule starting in 2017), and several figures are mangled ('82,755 8106636 8122-580', '3305302 $213,463', '51.105,338 $1.107,994', '$17.432')."
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,7-8,Debt repayment schedule to FY2047 -- complete version,unreadable / OCR damage,table note,Addendum p8 also carries a garbled '204Z' for 2047.
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,9-12,Collection of taxes -- receivables summary -- complete version with grand total,unreadable / OCR damage,table note,The main report's pp47-49 print the header shrinking from eight columns to five to four and then stop mid-table with no total; page 50 of the main report has no text layer and no OCR at all.
2017,FY2017,4124-fy-2017-annual-town-report.pdf,,,announced but absent,surprise,"Monty Tech's per-program enrollment split by gender for all twenty vocational programs is a complete dataset that exists ONLY as parentheticals at the end of prose paragraphs (p126-133) -- no heading, no table, invisible to any search for a table title."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,22,Receipts by revenue account for the year,continues elsewhere,table note,"The three columns interleave badly: a single extracted line often carries one account from each of the three columns (e.g. 'PERSONAL PROPERTY TAXES $714,783.71 RENTAL FEES CELL TOWER $36,125.94 NET METERING CREDITS $121,847.93')."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,189,Special state primary and special state election results,duplicated,table note,"Heavily OCR-damaged: precinct headers are missing or duplicated, several rows have fewer values than precincts, blanks and write-in rows are empty, and stray text ('TENSIS.', 'HOUSSYN') appears at the top."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,126-133,Monty Tech enrollment by vocational program and gender,no heading,table note,"This is a complete structured dataset hidden in prose, and no heading names it."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,,,note,surprise,"A named list of every person buried or cremated in the town cemeteries in 2017 (p50), with age, cemetery, cremation marker and the war each veteran served in. Meanwhile the vital records page (p152) explains that names of births, deaths and marriages have been REMOVED on the advice of the Registry of Vital Records -- so the same report both suppresses and publishes the identities of the dead."
