fy,edition,document,name,printed_heading,pages,what_it_is,grain,columns,layout,printed_total,approx_rows,extractable,notes,cluster
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Public access cable revenue vs expenses and expense percentages,FY15 EXPENSES BY PERCENTAGES / FY15 REVENUE vs EXPENSES,66,"A five-line reconciliation of the PAC fund (starting balance, revenue, subtotal, expenses, ending balance) plus a pie chart of the same expenses as percentages.",one reconciliation line / one expense category,label | amount,"reconciliation block, then a pie chart whose slice percentages print as bare numbers before the labelled legend","Ending Balance $265,970.11",13,messy,"Percentages appear twice on the page -- once as unlabelled slice callouts (31%, 5%, 9%, 6%, 2%, 16%, 6%, 25%) and again in the labelled legend. Salaries 31%, New Equip 25%, Equip/Maint 16%.",access cable expense expenses
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Senior property tax work-off programme statistics,"SENIOR PROPERTY TAX WORK-OFF PROGRAM / CALANDAR YEAR JANUARY 1, 2015 - NOVEMBER 1, 2015",69,"Participation figures and the programme's eligibility rules and rates, plus the list of departments that hosted participants.",one rule / one participating department,rule or department,prose plus two bulleted lists,,12,messy,"Rate is $10/hour up to 100 hours for a maximum $1,000 abatement; nine residents participated, accumulating 865.5 hours. Income limits: $40,000 one-person / $60,000 two-person household. Seven departments hosted. Note the printed heading misspells 'CALANDAR'.",off programme property senior
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Sewer system operating statistics,SEWER COMMISSION,70-71,"Connection counts, billing, delinquencies, fee rates and grease-trap counts for the sewer system, in prose.",one operating measure,measure | value,prose,,10,messy,"764 properties connected, 378 with access not connected, 36 new connections in FY15; $715,400 billed in quarterly sewer bills; $41,759 of prior-year delinquencies added to property tax bills; 19 grease trap establishments; 171 house-to-house I/I inspections; Sewer Bank Fee of $220 per bedroom on new connections; 81% of sewage discharged to Leominster, 19% to Fitchburg. The $715,400 billed does not equal the $719,626.93 SEWER USER CHARGES committed on p45 -- different quantities, close enough to be mistaken for each other.",operating sewer statistics system
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Nashoba environmental health department activity counts,TOWN OF LUNENBURG / Environmental Health Department / Environmental Information Responses,77-78,"Counts of every environmental health action Nashoba performed for Lunenburg in the year -- inspections, permits, plan reviews, consultations -- each with an explanatory paragraph.",one activity type,activity | count,"dotted-leader label followed by a count, then an explanatory paragraph; heavily indented, OCR'd in 'layout' mode on p77 and 'plain' on p78",,16,messy,Counts include Lunenburg Office (days) 80; Food Service Licenses & Inspections 49; Beach/Camp Inspections 23; Housing & Nuisance Investigations 38; Septic System Test Applications 78; Septic System Lot Tests 234; Septic System Plan Applications 78; Plan Reviews 76; Permit Applications new lots 32 / upgrades 33; Construction Inspections 110; Consultations 19; Well Permits 14; Water Quality/Well Consultations 14; Rabies Clinics - Animals Immunized 9. p76 separately states 98 Title 5 inspections were reviewed. The dotted leaders make the count run straight into the label.,activity counts department environmental
2015,FY2015,4121-fy-2015-annual-town-report.pdf,"Nashoba nursing, community health and dental activity counts",Nashoba Nursing Service & Hospice / Community Health Nursing / Dental Health Department,79-80,"Visit counts by service type, clinic and immunisation counts, communicable disease case counts by disease, and school dental programme participation.",one service type or one disease,service or disease | count,dotted-leader label/count lines with explanatory paragraphs; the disease list is a bulleted label/count list,Investigated 63 / Confirmed 32 (for communicable disease cases),25,messy,"Nursing Visits 590; Home Health Aide Visits 247; Rehabilitative Therapy 360; Medical Social Service 44; Hospice Volunteer/Spiritual Care 13; 12 clinics; 85 health promotion visits; 106 flu shots. Disease counts by name: Anaplasmosis 1, Campylobacter 1, Haemophilus Influenzae 2, Hepatitis C 4, Influenza 13, Lyme Disease 6, Strep B 3, Salmonella 1, Shigellosis 1 -- these sum to 32, matching the printed 'Confirmed' figure. Dental: Students Eligible 351, Participating 185, Referred to Dentist 23, Number of Programs 10.",activity community counts dental
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Fire department call volume by type,"FIRE DEPARTMENT (introduced by 'In 2015 your Fire Department responded to 1985 calls for service, broken down as follows:')",81,Calendar-2015 fire department response counts split into four categories.,one call category,category | count,two label/count pairs on each of two lines,1985 calls for service (stated in the sentence above the breakdown),4,clean,"Fires & Hazardous Conditions 483; Emergency Medical 967; Inspections 493; Other 37. These sum to 1,980, not the 1,985 stated -- the breakdown does not tie to its own printed total. Also states 5 career staff and 40-45 on-call, a 1.5% year-over-year increase and 5.5% EMS increase, and a 48% rise in call volume over 15 years.",call department fire type
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Fire department roster,Roster of the Lunenburg Fire Department- 2015,83,"Every member of the fire department with their rank and certification level, flagged for specialised rescue team membership.",one firefighter,name | rank/certification,"two columns of 'Name, Rank/Cert' entries",,49,messy,"Footnote: '*Indicates member of Specialized Rescue Teams including Dive, Cave In and Confined Space Rescue Teams'. Certification suffixes (EMT, EMT-I, AEMT, Paramedic, Firefighter) are the only place in the report where staffing qualification is recorded.",department fire roster
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Police department roster by assignment,POLICE DEPARTMENT / Lunenburg Police Department / 2015 Annual Report,84-85,"Police staff grouped by assignment -- administrative, patrol supervisors, detectives, community outreach, traffic/K-9, patrol officers, desk, reserve intermittent -- plus retirements and departures.",one officer,assignment group | rank | name,"assignment headings with names beneath, some inline comma-separated",,30,messy,"Reserve/intermittent officers are listed separately from full-time, so headcount depends on which group you count -- the narrative uses '14 officers, including the Police Chief'.",assignment department police roster
2015,FY2015,4121-fy-2015-annual-town-report.pdf,"Police activity counts, 2015",State of the Police Department,86,"Calendar 2015 police workload: dispatched and self-initiated calls, accidents, incidents, motor vehicle stops, citations, arrests, summonses, protective custody, plus desk-officer workload, and five-year percentage changes.",one activity measure,measure | count,"prose paragraphs, counts embedded in sentences",,15,messy,"~5,600 dispatched calls, 7,800 self-initiated, 278 motor vehicle accidents, 1,253 incidents investigated, 4,039 motor vehicle stops, 2,440 citations, 371 arrests, 259 summonsed, 12 protective custody, ~7,000 phone calls, ~3,200 lobby inquiries, 153 reports, 146 detainee suicide watches. Five-year changes stated as 180.1% more arrests, 61.9% more reportable incidents, 20% more accidents. Also states workload will exceed 23,000 hours and the department is at 1.4 officers per 1,000 inhabitants against an FBI-cited 1.8 average.",activity counts police
2015,FY2015,4121-fy-2015-annual-town-report.pdf,"Arrests, incidents and officer counts -- Lunenburg vs comparison towns",Arrests and Incidents: A Five Year look back / (unlabelled comparison chart),86-87,"A bar chart comparing Lunenburg to twelve demographically similar Massachusetts towns on arrests, incidents and number of officers, with each town's population.",one town,ARRESTS | INCIDENTS | NO. OF OFFICERS | (town name and population),bar chart. The three data series print as an unlabelled run of numbers in groups of three; the town names and populations print as a separate block. There is nothing in the text stream that links a number-triple to a town.,,13,not without geometry,"Numbers recoverable as triples (636/1305/14, 214/614/19, 289/1066/18, 350/500/20, 184/557/22, 468/904/21, 376/742/22, 464/1026/18, 244/683/18, 149/547/18, 263/914/17, 243/582/19) and towns as Lunenburg 10,086; Hanson 10,209; Freetown 8,870; Acushnet 10,303; Norwell 10,506; Maynard 10,106; Holbrook 10,791; Leicester 10,970; Ayer 7,427; Pepperell 11,497; Littleton 8,924; Groton 10,646. Twelve triples for thirteen towns -- one is missing. The text says Lunenburg has the highest arrests and incidents with the fewest officers, which identifies Lunenburg as 636/1305/14. The second chart on p86 ('A Five Year look back', axis 0-1200, years 2010 and 2015) has no recoverable data at all.",arrests comparison counts incidents
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Capital planning committee FY16 recommendation,Capital Planning Committee Recommendation,93,"The thirteen capital items the committee recommended for FY16, each with its cost, funding source and the split between cash outlay and debt, plus a sources-of-funding reconciliation.",one capital request,(rank) | (item) | (cost) | Funding Source | Cash Outlay | Debt | Total,"ranked 1-13 with the item name, cost, a funding-source phrase, then three money columns; a 'Sources of Funding' block follows","Total: 1,051,578.00$ 578,810.00$ 222,768.00$ 801,578.00$ ; Sources of Funding: Prior Year Unspent Capital 67,284.64$, Cash Outlay 511,525.36$, Borrowing 222,768.00$ 801,578.00$, Operating Budget DPW 250,000.00$, 1,051,578.00$",13,messy,"The cost column and the Total column differ for row 1 (Pavement Management 250,000 is funded through the Operating Budget and so has no Cash/Debt/Total entry) -- which is exactly why the two totals differ, 1,051,578 vs 801,578. The page states the criteria used: Mandates, Safety, Need, Crisis, Cost Effectiveness and Ability to Fund. Trailing dollar signs (after the number) are the printed convention here.",capital committee planning recommendation
2015,FY2015,4121-fy-2015-annual-town-report.pdf,District enrollment by grade and residency,"Enrollment - February 19, 2016",101,"Student headcount by grade, split into Lunenburg residents, school-choice students and Shirley students, with per-school and district totals.",one grade level,Grade Level | Lunenburg Students | School Choice Students | Shirley Students | Total,"grade rows with school subtotal rows (Primary Total, THMS Total, LHS Total) interleaved; the column headers are stacked over several physical lines",All Schools Total 1541 52 2 1595,21,clean,"Counted as of 19 Feb 2016, not the DESE 1 October census -- so it will not match state figures. The Special Services report on p103 uses 1,567 as the total student population and the Primary School report on p105 uses the 1 October 2015 DESE count of 503 against this table's Primary Total of 516. Three different enrollment totals in three adjacent pages, each measured on a different date. Shirley students appear only in grade 12 (2 students).",district enrollment grade residency
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Special education indicators and placement counts,Special Services Department / FY15 (data taken from 2014-2015 school year),103-105,"The district's special education profile: student counts, out-of-district placement counts by placement type, 504 plan counts, and DESE Indicators 1-14 with Lunenburg's rate against the state target and state rate.","one indicator, or one placement type",indicator | Lunenburg rate | state target | state rate,"prose paragraphs, one per indicator; the Indicator 3C MCAS CPI figures are laid out as a two-column grade/subject list on p104",,40,messy,"THIS IS THE PLACEMENT COUNT the project's standing questions ask for: 'As of March 1, 2015, the total number of students receiving services outside the district was thirty. Of the thirty students, nine are placed in Collaborative Placements, fifteen are in Day Placements and six are in Residential Placements.' Also 270 students with disabilities = 17.2% of 1,567 students (17.8% the prior year, state average 17.1%); 116 students on 504 plans. Indicator 5 educational environments: Full Inclusion 73.8%, Partial 8.9%, Substantially Separate 6.9%, Separate/Residential 10.5%. Indicator 3C gives CPI by grade and subject for Lunenburg against the state, 17 pairs.",counts education indicators placement
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Primary School grade 3 MCAS results,MCAS 2015,106,Grade 3 reading and math MCAS achievement distribution for Lunenburg Primary School against the state.,one grade-and-subject test,Grade and Subject | Proficient or Higher LPS | Proficient or Higher STATE | Advanced LPS | Advanced STATE | Proficient LPS | Proficient STATE | Needs Improvement LPS | Needs Improvement STATE | Warning/Failing LPS | Warning/Failing STATE | Included | CPI | SGP | Included in SGP,"the header is shattered across ~25 short OCR lines ('Needs', 'Improvemen', 't', 'LP', 'S', 'STAT', 'E'); the two data rows print as a single run of numbers each",,2,not without geometry,"Data rows read 'GRADE 03 - READING 60 60 10 11 50 49 34 32 6 9 125  85.0 N/A N/A' and 'GRADE 03 - MATH 66 70 21 32 45 39 20 18 14 11 124  81.3 N/A N/A'. The note under the table says 'Percentage score of students in each category.' The column count in the header does not obviously match the number count in the rows -- reconstruct from the prose beneath, which restates the same figures.",grade mcas primary results
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Turkey Hill Middle School MCAS results,PERCENT OF STUDENTS SCORING IN THE ADVANCED/PROFICIENT RANGE,109,"Spring 2015 MCAS advanced/proficient percentages for grades 4-7 by subject, THMS against the state.",one grade-and-subject test,Grade | Subject | THMS | State,"clean four-column table, nine rows",,9,clean,"The only genuinely clean MCAS table in the report. Grades 4, 5, 6, 7 in ELA and Math plus Grade 5 Science/Tech.",hill mcas middle results
2015,FY2015,4121-fy-2015-annual-town-report.pdf,"Lunenburg High School MCAS results, grades 8 and 10",Lunenburg High School - 2015 MCAS Results (Grade 8) / Lunenburg High School - 2015 MCAS Results (Grade 10),113,"Two small tables of MCAS advanced/proficient percentages by subject for grades 8 and 10, against the state average.",one subject test,Subject Test | Advanced/Proficient | State Average (Adv/Pro),two three-row tables stacked,,6,clean,"Grade 8 is tested at the HIGH SCHOOL here (grade 8 was housed at LHS in this configuration) while grades 4-7 were at the middle school -- so the district's MCAS results are split across three separate tables on three pages under three different headings, with different column names each time. Also states 32 seniors received the John and Abigail Adams Scholarship.",grades high mcas results
2015,FY2015,4121-fy-2015-annual-town-report.pdf,School faculty and staff rosters,Lunenburg Primary School Faculty/Staff Roster 2015-2016 / Turkey Hill Middle School Faculty Staff/Roster 2015-2016 / LUNENBURG HIGH SCHOOL Faculty/Staff Roster 2015-2016,"107-108 (Primary), 110-111 (THMS), 114-115 (LHS)","Every employee at each of the three schools, grouped by grade level, department or job type, many with room numbers or team colours.",one staff member,name | role/assignment,"two columns per page, with the LEFT column continuing one grouping and the RIGHT column a different one, so the text stream interleaves unrelated groups line by line",,200,not without geometry,"THREE separate rosters under three different headings, spanning six pages -- a heading search for one form of the phrase will find some and miss others. THMS staff carry team colours (White, Blue, Red); LHS staff carry department liaison flags. Paraprofessionals are listed with their assignment ('1:1 Para', 'Gr. 4/5 Para') -- the only place staffing intensity is recorded. Central office staff are listed separately on p99.",faculty rosters school staff
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Lunenburg school district central office and services personnel,Central Office Personnel,99,"District-level staff by function: superintendent's office, special services, business services, facilities, technology, cafeteria, transportation, plus the School Committee with term-expiry years and meeting schedule.",one staff member or committee seat,name | title | (term expiry for committee members),two columns of function-headed name lists,,25,messy,Transportation is contracted: 'Transportation Services  Dee Bus Service'. Technology staff appear here AND in the Town's Information Technology report on p61 -- the same three people serve both town and schools.,central district office personnel
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Monty Tech MCAS three-year results by subject,"(no printed heading; three stacked blocks headed 'English Language Arts', 'Mathematics', 'Biology')",120,Three years of MCAS results for Montachusett Regional Vocational Technical School: students tested and the percent in each achievement band.,one achievement band within one subject,(subject) | 2013 | 2014 | 2015,"three five-row blocks (Students Tested, Passing, Advanced/Proficient, Needs Improvement, Failing) across three year columns",,15,clean,"This is district-wide Monty Tech, not Lunenburg's 78 students. Lunenburg pays Monty Tech an assessment ($760,058.00 in FY15 per p27) but no Lunenburg-only outcome data is published.",mcas monty results subject
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Monty Tech enrollment by member town,Enrollment,118,"Monty Tech's total enrollment on 1 June 2015 broken down by which of the eighteen member towns each student comes from, plus out-of-district towns.",one member town,town | student count,prose sentence with counts in parentheses after each town name,"1,418 students in grades nine through twelve",19,messy,"Lunenburg (78). Fitchburg (368) is the largest. 26 students from out-of-district towns (Ayer, Clinton, Lancaster, Leominster, Orange, Shirley, Webster, Worcester). Also on the same page: 631 applications received, 338 freshmen and 3 upperclassmen admitted.",enrollment member monty tech
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Monty Tech vocational programme enrollment by sex,Vocational Projects in the District Communities,120-133,Each of the twenty vocational-technical programmes gets a narrative paragraph ending with its total enrollment split by sex.,one vocational programme,programme | total enrollment | males | females,"a parenthetical at the end of each programme's paragraph: '(Total enrollment: 62; 34 males, 28 females)'",,19,messy,"Nineteen such parentheticals are present for twenty programmes -- at least one paragraph does not carry the count, and one is written '(Total enrollment: 91, 0 males, 91 females)' with a comma instead of a semicolon. The sex split is stark in several trades (Cabinetmaking 69 males / 2 females; Health Occupations 34 males / 67 females).",enrollment monty programme sex
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Monty Tech school committee membership,The Monty Tech School Committee,133,"The twenty-two member regional school committee, each member listed with their town.",one committee member,name | town | (office held),single-column list,,22,clean,Lunenburg's representative Barbara Reynolds is Vice Chair. Fitchburg holds four seats; Harvard's seat prints as 'TBD'. Westminster prints two names for one seat ('Walter Taylor/Ross Barber').,committee membership monty school
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Vital statistics for the year,VITALS REPORT,136,"The number of births, deaths and marriages the Town Clerk recorded in 2015.",one vital record type,type | count,one line of three label/count pairs,,3,clean,"BIRTH - 93, DEATHS - 94, MARRIAGES - 28. The page explains that individual names were removed on the recommendation of the Registry of Vital Records and the U.S. Department of State -- a deliberate change in what this table publishes, worth checking against earlier years which may name individuals.",statistics vital
2015,FY2015,4121-fy-2015-annual-town-report.pdf,"Annual town meeting article votes, May 2, 2015","TOWN MEETING EXCERPTS / Annual Town Meeting May 2, 2015",137-179,"Every article put to the annual town meeting, its full text, who submitted it, the Board of Selectmen and Finance Committee recommendations with their vote splits, and the meeting's action.",one town meeting article,article number | article text | submitted by | BOS recommendation and vote | FinCom recommendation and vote | action taken,"continuous prose, each article beginning 'ARTICLE n.' with the recommendation and vote in bold at the end; some articles are followed by the full text of the bylaw they enact",,40,messy,"Recommendation vote counts are recorded ('Board of Selectmen Recommends Approval, 5 - 0'), as are outcomes (VOTED UNANIMOUS CONSENT, VOTED with amendment, PASSED OVER). Articles 26-31 carry the full text of the Architectural Preservation District bylaw and the Village Center District zoning bylaw. NOTE: the APD bylaw text appears TWICE (pp144-148 as Article 26's motion and pp149-153 as the amended version), and the Village Center parking and dimensional tables appear twice as well (p157 and p163) -- roughly ten pages of this section are a near-duplicate of another ten.",article may meeting votes
2015,FY2015,4121-fy-2015-annual-town-report.pdf,FY2016 omnibus budget as voted,FY 2016 Omnibus Budget,140-141,"The FY2016 operating budget as voted at the May 2015 annual town meeting, by numbered budget line, with departmental and grand totals. This is the appropriation the following year's report will show as spent.",one numbered budget line,Line No. | Account | VOTED FY 2016,"TWO PAGES, each printed as two side-by-side halves, so the budget runs down the left half of p140, continues down the right half of p140, then the left half of p141, then the right half of p141. The OCR interleaves the two halves line by line, putting an unrelated account and figure on each physical line.","TOTAL OMNIBUS $ 32,025,895.00",82,not without geometry,"Line numbers run 1-82 and are the town's stable budget-line identifiers, referenced by later town meeting votes (the Nov 2015 STM on p180 amends 'Line 13, Reserve Fund', 'Line 75, Veterans' Benefits', 'Line 80, Monty Tech Assessment'). Section subtotals are printed: Total Maturing Debt $4,557,920.00; Total Gen Gov Unclassified $2,387,468.00; Total General Government $1,233,661.00; Total Central Purchasing 52,950.00; Total Protection $2,638,990.00; Total Health & Sanitation $66,663.00; Total DPW $1,467,738.00; Total Facilities & Buildings $625,370.00; Total Solid Waste/Recycling $147,000.00; Total Assistance $167,710.00; Total Schools $18,316,576.00; Total Library $363,849.00. School Department is line 79 at $17,399,092.00, Monty Tech Assessment line 80 at $801,484.00. The heading 'FY 2016 Omnibus Budget' prints only once, at the top left of p140; p141 carries no heading at all. Header column labels differ between the two halves of p140 ('VOTED FY 2015' on the left, 'VOTED FY 2016' on the right) -- one of them is a typo carried over from the previous year's layout.",budget omnibus voted
2015,FY2015,4121-fy-2015-annual-town-report.pdf,"Special town meeting article votes, November 16, 2015","SPECIAL TOWN MEETING / November 16, 2015",180-188,"Every article at the November 2015 special town meeting, with recommendations and outcomes, including budget amendments to the FY2016 omnibus and rescissions of old borrowing authorisations.",one town meeting article,article number | article text | submitted by | recommendations | action taken,"continuous prose, same shape as the annual meeting section",,14,messy,"Article 3 amends the FY2016 budget by line number and amount -- so the FY2016 budget as finally in force is the p140-141 table PLUS these amendments, and neither page says so. Four articles rescind unissued borrowing authorisations dating to 2001-2005, tying to the Authorized Unissued Debt table on p41.",article meeting november special
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Salary administration plan -- classification list,SCHEDULE A / CLASSIFICATION AND SALARY SCHEDULE / CLASS TITLE * GRADE **,197-198,"Every non-union, non-school town job title with the pay grade assigned to it.",one job title,CLASS TITLE | GRADE,"dotted-leader list, title then grade number",,46,clean,"Footnotes printed: '* Class Titles and associated grades may or may not be used for those under union or individual contracts. There are new class titles and some are renamed for clarity.' and '** New Grades have been assigned to those jobs mapped to the 2016 Salary Schedule. (revised Sept 2015)'. Grades run 1 (Library Page) to 18 (Land Use Director). Excludes elected positions, contractual employees, police below Chief, and all School Committee staff -- so it is not a complete town job list.",administration classification plan salary
2015,FY2015,4121-fy-2015-annual-town-report.pdf,"Salary schedule for fiscal year 2016 -- HEADING ONLY, TABLE ABSENT",TOWN OF LUNENBURG / SALARY SCHEDULE / FOR FISCAL YEAR 2016,198,The heading and explanatory notes for the grade-by-step dollar salary schedule -- but the schedule itself does not appear. The page ends after three explanatory sentences about step increases and longevity.,(would be one pay grade),,"heading and three note lines only; no grid, no dollar figures",,0,not without geometry,"This is a genuine omission, not an OCR failure -- p198 is 'plain' mode with 16 recovered lines and the next page (199) starts the next town meeting article. The document announces a salary schedule and does not print it. Notes that ARE printed: employees hired between 1 January and 30 June are not eligible for a step increase until the following 1 July; Step 1 covers the first 0-18 months; step increases run to 10 years, then a Longevity Bonus. Check whether the FY2016 report or an addendum carries the missing grid.",absent heading only salary
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Annual town election results by precinct,"ANNUAL TOWN ELECTION / SATURDAY MAY 16, 2015",201-202,"Vote totals for every contest on the May 2015 town election ballot, by precinct, including blanks and all-others, with the elected candidate flagged.",one candidate (or blanks/all-others line) within one contest,** ELECTED | PREC A | PREC B | PREC C | PREC D | TOTAL,"contest heading giving the office, term length and 'Vote for One/Two/Three', then candidate rows, an 'All Others' row, a 'Blanks' row and a TOTAL row",each contest prints its own TOTAL row (e.g. 'TOTAL 72 56 39 80 247'),60,messy,"The data is internally inconsistent and should be treated with care: SCHOOL COMMITTEE prints 'TOTAL 1128 872 964 1070 4034' while its candidate, all-others and blanks rows sum to 247; CEMETERY COMMISSIONER prints Lorraine Mendoza with 414/339/336/389/1478 against a TOTAL row of 72/56/39/80/247. Several winners have implausibly low counts (George L. Emond Jr. elected on 14 votes). Two elected candidates are annotated 'Declined' (Wendy L. Bertrand for Sewer Commissioner, Paul F. Scheipers for the 3-year Park seat). One contest reads 'LIBRARY TRUSTEE - For 1 year / Vote for One  NONE'. Total ballots cast appear to be 247 across four precincts.",election precinct results
2015,FY2015,4121-fy-2015-annual-town-report.pdf,FY2016 elected officials by term expiry,FY 2016 ELECTED OFFICIALS,203,"The full slate of elected officeholders after the May 2015 election, each with the year their term expires, flagged where the seat is up next.",one officeholder seat,term expiry year | name,two columns of board-headed lists; the page title prints at the BOTTOM of the page,,45,messy,"'**' appears to flag seats expiring/up for election. Includes one governor-appointed Housing Authority member ('Appointed By Governor: 2011 Elizabeth A. Murphy**'). This list differs from the p9-10 elected officials list, which is the pre-election slate -- the report carries both.",elected expiry officials term
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Town and school employee compensation,(none -- the list starts immediately after the 'MISCELLANEOUS INFORMATION' divider; the table of contents calls it 'Town & School Employee Compensation'),206-211,"Gross calendar-year earnings for every person the town or school district paid, with the department that paid them.",one employee,SURNAME | FORENAME | DEPARTMENT | amount,"two side-by-side name/dept/amount columns per page across six pages; no header row anywhere, no heading, no total",,550,messy,"THIS TABLE HAS NO HEADING AND NO PRINTED TOTAL -- a heading-driven search will not find it at all. Department codes are free text and inconsistent: SCHOOL, POLICE, FIRE, DPW, COA, LIBRARY, ACCT, IT, PARK, CEMETERY, BUILDING, HEALTH, WIRING, PLUMB/GAS, LAND USE, PLANNING, SELECTMEN, REGISTRATIONS, TOWN MANAGER, VETERAN SERV, TAX WORKOFF. Selectmen appear at $100.00 each; the Superintendent at $136,578.97; the Town Manager appears twice under different names (LAFLEUR is absent, SPEIDEL KERRY TOWN MANAGER 130,102.20). Roughly 275 physical lines carrying two employees each. Compare to p24-28: this is what was PAID to people, while the appropriations table shows what was BUDGETED to lines -- the two are different universes and the report never reconciles them.",compensation employee school
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Board and committee meeting schedule,MEETING SCHEDULE,212,When and where each town board or commission meets.,one board,BOARD/COMMISSION | DAY | TIME | LOCATION,"clean four-column table, some rows continued on a second line for exceptions",,22,clean,"Records exceptions inline ('EXCEPT JULY/AUG.', 'EXCEPT LAST WEEK/MONTH'). A record of which boards were active in 2015 -- the Building Reuse Committee and School Building Committee, both active per pp11 and 15, are absent from this schedule.",board committee meeting
2015,FY2015,4121-fy-2015-annual-town-report.pdf,Town department hours and phone numbers,TOWN DEPTS./BOARDS/COMMITTEES HOURS PHONE #,213-214,Public office hours and phone number for every town department.,one department,TOWN DEPTS./BOARDS/COMMITTEES | HOURS | PHONE #,"three columns, hours often on two or three lines per department",,27,messy,"States 'ALL TOWN OFFICES EXCEPT WHERE NOTED, ARE CLOSED ON FRIDAYS' -- a four-day town hall week. p214 repeats its own header lines twice by mistake. Some entries name the individual officeholder in place of hours (BY APPOINTMENT / GARY WILLIAMS).",department hours numbers phone
2016,FY2016-addendum,4122-fy-2016-annual-town-report-addendum.pdf,FY2016 receipts by revenue source -- complete version,FY 2016 RECEIPTS - JUNE 2016,1,"The whole FY2016 receipts page as designed: every revenue line the town collected, in three printed columns grouped by revenue class, with the SUMMARY OF RECEIPTS block and GRAND TOTAL that the main report's p23 does not carry.",one revenue source,revenue source | amount,"Three printed columns. The OCR has TRANSPOSED the page: each printed column becomes ONE text line, so the page yields five very long lines -- column 1's labels, column 1's values, column 2's labels, column 2's values, and column 3's labels. There is no line-by-line association between a label and its amount; you get two parallel sequences and must pair them by position.",the GRAND TOTAL label is present in the column-3 label line ('... TRANSFER FROM OTHER FUNDS NON RECURRING REVENUE GRAND TOTAL') but ITS VALUE IS NOT IN THE TEXT LAYER -- the OCR recovered no values line for column 3 at all,130,not without geometry,"THIS IS THE PAGE THE MAIN REPORT TRUNCATES, and it is the reason to keep this file. Column 3 carries the lines the main report loses: NET METERING CREDITS, SCHOOL BASED MEDICARE REIMB, MEDICARE PART D REIMBURSEMENT, LOCK UP FEES, MISC OVER/SHORT, FEDERAL REVENUE, PREMIUM SALE OF BONDS, SALE OF TOWN EQUIPMENT, MISC. REVENUE, MEDICAL RECORDS, EARNINGS ON INVESTMENTS: INVESTMENT INCOME, PRIOR YEAR EXCISE, PRIOR YEAR INT/DEMAND, TRANSFERS FROM OTHER FUNDS, and then the SUMMARY OF RECEIPTS block with its class subtotals (TAXES & EXCISES, FEES, LICENSES AND PERMITS, STATE REVENUE, SPECIAL ASSESSMENTS, FINES & FORFEITS, INVESTMENT INCOME, TRANSFER FROM OTHER FUNDS, NON RECURRING REVENUE) and GRAND TOTAL. THE VALUES FOR ALL OF THOSE ARE NOT IN THIS FILE'S TEXT LAYER -- they must be read off the page image. Note also that column 1's label line misspells 'PARSONAL PROPERTY TAXES' and that some values print without a comma separator ('$8755.00'). Also present here and absent from the main report: STATE REVENUE lines SMART GROWTH SCHOOL COST REIMB, SEC 2D CH 29 LOTTERY BEANO, MSBA REIMB-SCHOOL, SCHOOL TRANSPORTATION, ZONING INCENTIVE PAYMENT, VETERANS BENEFITS REIMBURSEMENT, LOCAL OPTION MEALS TAX, TRAILER PARKS, RESCUE WAGON, MEADOW WOODS WATER PRINCIPAL and INTEREST, STREET BETTERMENTS and INTEREST; and FEES lines SEALING FEES, PRE-SCHOOL TUITION, CONSTABLE FEES, VOTING LISTS, plus a whole DEPARTMENTAL REVENUE block (SUBDIVISION/FORM A FILING FEES, PLANNING BOARD FEES/PERMITS, WETLANDS BYLAWS, STUDENT PARKING FEES, ZONING BOARD FILING FEES, CEMETERIES BURIALS, COPIER FEES, WETLANDS FILING FEES, WETLANDS ADVERTISING FEE, RENTAL OF OFFICE SPACE, RESEARCH FEES, POLE LOCATIONS, RECORDING FEES, FORM OF INTENT-BUSINESS) and FINES & FORFEITS (PARKING FINES, COURT FINES, DOG FINES).",complete receipts revenue source
