dataset,fy,edition,pages,printed_heading,table,grain,printed_total,checkable,extractable,rows,notes
capital_projects,2011,FY2011,71,CAPITAL PROJECT FUNDS FY 2011 / PURPOSE | APPROPRIATED FORWARD | EXPENDED/ENCUMBERED/TRANSFERRED | BALANCE,"Capital project funds, FY 2011",one capital project / article,"$2,561,789.31 $750,290.55 $1.811.498.76 (unlabelled total row)",yes,messy,35,"Rows 39-46 have slipped a line: RENOVATE DPW FACILITY, TOWN HALL RENOVATIONS, ROAD IMPROVEMENTS and FRONT END LOADER have their expended and balance figures displaced by one row, and the word 'TAL' (from TOTAL) sits alone on line 46. The left margin of the last three lines is cut ('d from FY 10', 'a"
capital_projects,2012,FY2012,41,"SCHOOL FACILITIES / John Londa, Facilities Director","School facilities: capital projects, costs and work orders",one project or request,,no,messy,8,"Recoverable figures: feasibility study $750,000 approved May 2012; owner's project manager Joslin, Lesser + Associates $125,000; Passios roof designer Haynes, Leineck and Smith $9,098; roof work by M.D.M. Engineering $73,000; THMS gym snow guards $18,010; 437 work orders completed in seven months. F"
capital_projects,2012,FY2012,71,CAPITAL PROJECT FUNDS FY 2012 / PURPOSE | APPROPRIATED FORWARD | EXPENDED/ENCUMBERED/TRANSFERRED | BALANCE / STM - Special Town Meeting / ATM - Annual Town Meeting / Fwd - forward from FY 10,"Capital project funds, FY 2012",one capital project / article,"GRAND TOTAL $666,816.14 $1,558,447.62 $2,225,263.76",yes,messy,40,"Rotation still wrong, but unlike FY2011 the VALUES on each line belong together and the purpose names are readable — the offset is between the value block and the name, generally one line. This year each project carries its authorising article ('16 5/06 ATM', '21 12/5/06 STM', '7 5/09 ATM'), which i"
capital_projects,2013,FY2013,76,7 5/07 ATM FY08 Capital Plan / 8 5/07 ATM FY08 Capital Program / 8 5/08 ATM FY09 Capital Program / 9 5/08 ATM FY09 Capital Improvements / 7 5/09 ATM FY10 Capital Program / 13 5/10 ATM FY11 Capital Program,"Capital project funds, FY 2013",one capital project / article,,no,messy,40,"THE ROTATION IS FIXED — where FY2012's version is printed 180 degrees out with the purpose column at the right, this reads normally with the group heading ('7 5/07 ATM FY08 Capital Plan') and the project name on the same line as the amount. The three right-hand money columns are largely empty, howev"
capital_projects,2014,FY2014,34,CAPITAL PROJECT FUNDS FY 2014,Capital project funds by town meeting article,one capital item within one article,"Grand Total $74,313,023.41 / $12,873,476.33 / $61,439,547.08. Key: 'fwd - forward from FY 13', 'ATM - Annual Town Meeting', 'STM - Special Town Meeting'",yes,clean,50,"THE BIG ONE: article '3084 1 1/14 STM Construct Middle School/High School $72,975,321.00' with $11,874,434.00 spent and $61,100,887.00 remaining - the new middle/high school, voted at the January 2014 Special Town Meeting, dominates the whole schedule. Also '3082 11 5/12 ATM Feasibility Study - Midd"
capital_projects,2015,FY2015,34,CAPITAL PROJECT FUNDS FY 2015,Capital project funds by authorising article,one capital project (or one item within an annual capital program),"Grand Total $65,377,699.08 $55,384,182.15 $9,993,516.93",yes,clean,48,"Footnotes printed on the page: 'fwd - forward from FY 14', 'ATM - Annual Town Meeting', 'STM - Special Town Meeting'. Dominated by one line: '1 1/14 STM Construct Middle School/High School $61,100,887.00 fwd / $53,661,320.41 / $7,439,566.59'. Some expended figures are negative (credits back). Item n"
capital_projects,2016,FY2016,36,CAPITAL PROJECT FUNDS FY 2016,Capital project funds by authorising article,one capital project or item within an annual capital programme,"Grand Total $11,120,094.93 $4,375,397.66 $6,744,697.27",yes,clean,50,"A stray '$25,000.00' prints on its own line above the first data row and is not attached to any project. The school build line reads '1 1/14 STM Construct Middle School/High School $7,439,566.59 fwd / $2,072,973.84 / $5,366,592.75' -- the forward figure ties exactly to the FY2015 report's balance fo"
capital_projects,2017,FY2017,34,CAPITAL PROJECT FUNDS FY 2017,"Capital project funds -- authorised, spent and balance by project",one capital project / article,"Grand Total row present; column totals appear as APPROPRIATED FORWARD $12,169,172.27, expended $3,583,457.59 and BALANCE $5,271,397.84 $3,053,402.72 $8,585,714.68",yes,not without geometry,40,"Completely unusable as extracted -- the row-to-value mapping is gone. Must be re-read from the PDF with x/y coordinates. Named projects include 'Reconstruction of Summer Street (25%)', 'Construct Middle School/High School' (the $5,366,592.75 figure), 'Replace Artificial Turf Field/Track', 'Pavement "
capital_projects,2018,FY2018,40,CAPITAL PROJECT FUNDS FY 2018,"Capital project funds -- authorised, spent and balance by project",one capital project / article,"Grand Total $9,328,231.68 $2,309,600.54 $7,018,631.14, with legend 'fwd - forward from FY 17 / ATM - Annual Town Meeting / STM - Special Town Meeting'",yes,clean,40,"THIS IS THE BIG YEAR-TO-YEAR IMPROVEMENT. The FY2017 report's version of this table (p34) came out of the text layer completely transposed and unusable; FY2018's is a clean text layer with one project per line and the article/year attached. If you need FY2017 project balances, the FORWARD column her"
capital_projects,2019,FY2019,42,(title band lost; contents page calls it 'Capital Projects Fund'),"Capital projects fund, FY2019",one authorised capital project,"Grand Total $8,493,845.14 | $2,161,866.13 | $6,331,979.01, followed by 'fwd - forward from FY 18 / ATM - Annual Town Meeting / STM - Special Town Meeting'",yes,clean,50,"Now fully legible. Dominated by two items: Construct Middle School/High School $4,868,846.21 carried forward and untouched, and Pavement Management Plan $1,770,927.36 forward / $619,225.72 spent / $1,151,701.64 remaining. The FY19 Capital Program block (Article 6, 5/18 ATM) shows the Ladder Truck at"
capital_projects,2020,FY2020,36,CAPITAL PROJECT FUNDS FY 2020,Capital project funds FY 2020,one authorised capital project,"$4,868,846.21 and $6,224,795.31 on the appropriated/forward lines; $2,873,283.70 on the expended line",yes,not without geometry,25,"Article references survived in order: 08/02 ATM 4, 05/05 STM 21, 5/12 ATM 14, 5/13 ATM 1, 1/14 STM 14, 5/14 ATM 15, 5/3/14 14, 5/15 ATM 14, 5/16 ATM 28, 5/16 ATM 26, 5/16 ATM 7, 5/17 ATM 6, 5/18 ATM 6, 5/19 ATM 24, 5/19 ATM 6, 11/19 STM... Purposes survived in order: Development of Cemeteries, Engin"
capital_projects,2021,FY2021,37,(title band lost; contents page calls it 'Capital Projects Fund'),"Capital projects fund, FY2021",one authorised capital project,"Grand Total $7,458,008.31 | $6,599,926.64 | $858,081.67, followed by 'fwd - forward from FY 20 / ATM - Annual Town Meeting / STM - Special Town Meeting'",yes,clean,55,"Fully legible. Note the FY2021 Annual Town Meeting was held on 13 June 2020, not in May -- the article references read '6 6/20 ATM', a COVID-displaced meeting date. The FY21 Capital Program block is the year's new spending: Police Vehicle 2 Marked New $134,000.00; SCBA Complement Replacement (1/2) -"
capital_projects,2022,FY2022,38,CAPITAL PROJECT FUNDS FY 2022,Capital project funds FY 2022,"One capital project, under an article-number heading.","Grand Total $2,621,406.67 appropriated/forward / $1,088,263.42 expended / $1,533,143.25 balance. Footnotes printed: 'fwd - forward from FY 21', 'ATM - Annual Town Meeting', 'STM - Special Town Meeting'.",yes,clean,60,"The most readable capital table across both years. Every project is named in plain English against its fund number (3006, 3053, 3083...) and its article and meeting date. The oldest live appropriation is '3006 08/02 ATM Development of Cemeteries' - a 2002 town meeting article still carrying a balanc"
capital_projects,2023,FY2023,44,CAPITAL PROJECT FUNDS FY 2023,Capital project funds,one capital project under a town-meeting article,"Grand Total $4,138,299.45 | $843,181.55 | $3.295,117.90 (line 69)",yes,messy,65,"The left column mixes an article number and a meeting date in one field ('14 5/15 ATM', '211/20 STM', '6 05/07/22 ATM') and is blank on continuation rows, so rows must be carried down. Amounts tagged 'fwd' or 'fid'/'wd' (OCR of fwd) are prior-year carryforwards. First column header prints as 'ARTEYR"
capital_projects,2024,FY2024,27,"TOWN OF LUNENBURG / Capital Project Fund Balance Detail / as of June 30, 2024 / (Unaudited)",Capital project fund balance detail,one capital project fund,"Total Capital Projects Fund Balance 0.00 | 0.00 | 3,575,303.03 | 0.00 | 152,499.00 | 0.00",yes,messy,17,"MUCH less detailed than FY2023's capital schedule (page 44), which listed every individual project under its town-meeting article with authorised, spent and remaining amounts. Here whole capital plans are single rows ('FY23 CAPITAL PLAN 1,292,273.56', 'FY24 CAPITAL PLAN 1,011,043.00'), so project-le"
capital_projects,2025,FY2025,30,CAPITAL PROJECT FUND BALANCE DETAIL,Capital project fund balance detail,One capital project fund,"TOTAL CAPITAL PROJECT FUND BALANCE  3,096,913.16",yes,clean,15,"Fund 3107 is printed with a number and nothing else — no name and no amount. Project names carry the town meeting that authorised them ('3101 FY22 Cap Plan #5 5/21 ATM'). Largest balances: FY25 Capital Plan $890,668.89, FY24 Capital Plan $829,034.00, FY22 Cap Plan $569,740.41."
capital_projects,2025,FY2025,90-91,Capital Program,School facilities capital projects with costs,One capital project,,no,messy,7,"Primary Elementary mini split $499,900 (Daikin Applied); THES Fire Alarm Upgrade $354,990 (Relay Fire & Safety); THES exterior door upgrade $164,482 (Suburban Glass and Mirror); Primary + Turkey Hill camera/card access $135,426 (Galaxy Integrated Technologies); refrigeration controls all 3 schools $"
capital_projects,2025,FY2025,138,FY 2026 Program of Capital Projects Option 1,"FY2026 program of capital projects, Option 1",One capital project,"Contingency  $69,019  $1,225,000  /  Total F2026 Capital  $1,225,000",yes,messy,20,"CPC rankings are not contiguous — 14, 18 and 21 are absent from the list, so it is a filtered ranking, not a complete one. Multi-word project names are printed on the line before the row that carries the rank and money, e.g. 'Primary School Feasibility Study for' then '2 Schools Entry & Drive Way Ex"
capital_projects,2025,FY2025,139,FY 2026 Program of Capital Projects Option 2,"FY2026 program of capital projects, Option 2 (as voted)",One capital project,"Contingency  $69,019  $1,225,000  /  Total F2026 Capital  $1,225,000",yes,messy,16,"ADOPTED: 'VOTED Option 2 as presented (Yes 152, No 30, Abstain 2)' funded by $244,576 raised and appropriated, $655,424 from Free Cash and $325,000 transferred from Article 6 of the May 7, 2022 ATM. Option 2 drops four school projects that appear in Option 1 (Primary School entry/driveway feasibilit"
gross_wages,2011,FY2011,97-101,,"Payroll report: gross earnings by employee, FY2011",one employee (a person paid from two departments gets two rows),,no,messy,560,"PAGE 97 IS ENTIRELY BLANK IN THE OCR (0 lines) — the first page of the payroll list, and any heading it carried, is lost, so the list starts mid-A ('BABINEAU, LORI ANN'). No printed total anywhere, so it cannot be reconciled against the expenditure ledger. The DEPARTMENT column is missing for most r"
gross_wages,2012,FY2012,112-115,,"Payroll report: gross earnings by employee, FY2012",one employee,,no,not without geometry,560,"STILL WRECKED, and worse than FY2011's. Surname, forename, department and amount have each become their own drifting column: on p112 the surnames are almost all missing and only forenames and departments survive; on p113 surnames and amounts are present but forenames are not; on p115 surnames are TR"
gross_wages,2013,FY2013,93-97,,"Payroll report: gross earnings by employee, FY2013",one employee,,no,not without geometry,570,"STILL BROKEN, though differently from FY2012's. Surnames and forenames are intact this year — a real improvement — but THE AMOUNT COLUMN IS EMPTY for almost every row on p93 (only a stray '$' survives), and p96 has lost names and amounts alike, leaving 82 lines of bare department labels. p97, the la"
gross_wages,2014,FY2014,168-174,CALENDAR 2014 WAGES,"Town and school employee compensation, calendar 2014",one employee (per paying department),,no,messy,600,"Directly extractable, unlike FY2013's version where the surname, given name, department and amount runs were emitted as four separate long lines and could not be re-paired. The trap here is that each text line holds TWO complete records side by side ('ADAMOWICZ JOSEPH 23,924.63 SCHOOL BERTHIAUME RON"
gross_wages,2015,FY2015,206-211,(none -- the list starts immediately after the 'MISCELLANEOUS INFORMATION' divider; the table of contents calls it 'Town & School Employee Compensation'),Town and school employee compensation,one employee,,no,messy,550,"THIS TABLE HAS NO HEADING AND NO PRINTED TOTAL -- a heading-driven search will not find it at all. Department codes are free text and inconsistent: SCHOOL, POLICE, FIRE, DPW, COA, LIBRARY, ACCT, IT, PARK, CEMETERY, BUILDING, HEALTH, WIRING, PLUMB/GAS, LAND USE, PLANNING, SELECTMEN, REGISTRATIONS, TO"
gross_wages,2016,FY2016-addendum,13-17,"(none -- as in both main reports, this table has no heading anywhere)",Town and school employee compensation -- the missing beginning of the list,one employee,,no,not without geometry,180,"TREAT THESE PAGES AS IMAGES. Recovered content is fragmentary surname/forename/department triples that do not align -- for example p13 yields 'BYRNE / FIRE', 'CAIOZZO', 'CAISSEY', 'CALL SARAH', 'CALMES', 'CAMELO TRACI FIRE', 'CARLSON', 'CARON', 'CARRIER LINDA', 'CAVAIOLI SUSAN', 'CELONA', 'CHAIT'; p"
gross_wages,2016,FY2016,198-202,(none -- the list starts immediately after the 'MISCELLANEOUS INFORMATION' divider; the table of contents calls it 'Town & School Employee Compensation'),Town and school employee compensation -- INCOMPLETE IN THIS DOCUMENT,one employee,,no,messy,570,"TWO DEFECTS. (1) THE LIST STARTS AT 'BENOIT MATTHEW' -- every surname from A through BEND is absent. FY2015's equivalent began at ACKERMAN. Grepping this document for ACKERMAN, ADAMS CHAD or ALONZO returns nothing. (2) PAGE 202 OVERLAPS PAGE 201: p201's right-hand column and p202 both run from aroun"
gross_wages,2017,FY2017,192-198,CALENDAR 2017 GROSS WAGES,"Town and school employee gross wages, calendar 2017",one employee,,no,messy,612,"No total is printed anywhere -- there is nothing to reconcile this against, and it is a CALENDAR year against the report's FISCAL year figures, so it will not tie to the payroll lines in the appropriations table. The two-column layout interleaves: one extracted line carries two different employees. "
gross_wages,2018,FY2018,248-254,Town & School Employee Calendar 2018 Gross Wages,"Town and school employee gross wages, calendar 2018",one employee,,no,messy,586,"THE DEPARTMENT COLUMN IS GONE. FY2017's version tagged every row with a paying department (SCHOOL, POLICE, FIRE, DPW, COA, LIBRARY, ACCT, TAX WORKOFF and a dozen more); FY2018 gives name and amount only. That removes the ability to split payroll by department, and it removes the only marker that ide"
gross_wages,2019,FY2019,197-203,(no heading survives; the contents page calls it 'Town & School Employee Gross Wages'),"Town and school employee gross wages, calendar 2019",one employee,,no,messy,570,"THE ONE PLACE THE CORRECTION DID NOT HELP, and it should not be over-sold. Surnames and first names now read correctly in proper rows -- the alphabetical list is complete and usable as a roster. But the WAGE AMOUNTS are almost entirely absent: 39 of roughly 570 appear on p199 and one on p197; pages "
gross_wages,2020,FY2020,208-214,Calendar Year 2020 Wages,"Town and school employee gross wages, calendar 2020",one employee,,no,messy,500,"FAR BETTER THAN FY2019's equivalent, which is unusable -- here the surname, first name and amount stay together. ONE DEFECT: on PAGE 208 ONLY, the right-hand column's AMOUNTS are missing entirely (lines end after the first name, at 176 characters); the left column on p208 is complete, and both colum"
gross_wages,2021,FY2021,162-168,(no heading survives; the contents page calls it 'Town & School Employee Gross Wages'),"Town and school employee gross wages, calendar 2021",one employee,,no,clean,560,"A MAJOR RECOVERY, AND THE SHARPEST CONTRAST WITH FY2019. Here the amounts survive: over 400 wage figures across the seven pages, in proper rows beside their names, where the FY2019 equivalent retains only 40 of roughly 570. This is now the usable published payroll of the two years -- gross wages per"
gross_wages,2022,FY2022,186-192,Calendar Year 2022 Gross Wages,"Town and school employee gross wages, calendar year 2022",One employee.,,no,not without geometry,600,"Materially WORSE than FY2021's equivalent, which at least kept surnames, forenames and amounts as parallel order-aligned lines. Here p186 yields eight lines total for a full page of names. There is clearly a second money column (small values like 60.00, 0.01, 55.00 appear beside large gross figures)"
gross_wages,2023,FY2023,190-197,(section banner 'MISCELLANEOUS INFORMATION' on p189; the ToC calls it 'Town & School Employee Gross Wages 190'),Town and school employee gross wages,one employee,,no,not without geometry,500,"SEVERELY degraded in the text layer — only about 14-35 fragments survive per page, mostly surnames (BIERY, CALL, CORTEZ, DONELL, WARD, WEISS, WILDER) with the odd first name and the odd amount (73.38, 31.12, 53.44). The wages themselves are almost entirely absent from the extraction. Anyone wanting "
gross_wages,2024,FY2024,186-193,2024 GROSS WAGES,Town and school employee gross wages,one employee,,no,messy,500,"FAR MORE RECOVERABLE THAN FY2023's equivalent, and unlike FY2023 it is HEADED on every page. The left-hand block generally survives with surname, forename and amount together (e.g. 'CANFIELD STACEY 84,207.74'; 'CANTATORE ANDREW 96,059.11'); the right-hand block usually loses its amounts, and in the "
gross_wages,2025,FY2025,177-182,2025 GROSS WAGES,2025 gross wages by employee,One employee,,no,not without geometry,612,The single largest table in the book and the only place individual pay appears. NO printed total anywhere — the list simply ends. Reading line by line and taking 'the first name and the first number' will silently drop half the payroll: the two halves are separate alphabetical runs. At least one lin
elections,2011,FY2011,79-80,"SATURDAY MAY 21, 2011 / ** ELECTED / PRECA | PREC B | PREC C | PREC D | TOTAL / SELECTMAN - For 3 years / Vote for Two / SEWER COMMISSIONER - For 3 years / Vote for One / BOARD OF HEALTH MEMBER - For 3 years / Vote for Two / ASSESSOR - For 3 years / Vote for One / SCHOOL COMMITTEE MEMBER - For 3 years / Vote for Two / PARK COMMISSIONER - For 3 years / Vote for One / COMMISSIONER OF TRUST FUNDS - For 3 years / Vote for One / CEMETERY COMMISSIONER - For 3 years / Vote for one / HOUSING AUTHORITY MEMBER - For 5 years / Vote for One","Annual Town Election results by precinct, Saturday May 21 2011",one candidate (plus a Blanks row and a TOTAL row) in one contest,"TOTAL rows per contest (e.g. 118 for several single-seat races, 236 for the two-seat Board of Health race)",yes,not without geometry,30,"Rotation still wrong. Many precinct cells are empty and only the TOTAL column carries a value, so per-precinct numbers are mostly lost. Turnout is strikingly low — 118 ballots across four precincts. All contests appear uncontested (one name plus Blanks). Vote-for-Two contests print a doubled total ("
elections,2012,FY2012,102-103,"PRESIDENTIAL PRIMARY ELECTION / TUESDAY MARCH 6, 2012 / DEMOCRATIC PARTY / REPUBLICAN PARTY / GREEN-RAINBOW PARTY / PRESIDENTIAL PREFERENCE / STATE COMMITTEE MAN / STATE COMMITTEE WOMAN / DEMOCRATIC TOWN COMMITTEE / REPUBLICAN TOWN COMMITTEE / PREC A | PREC B | PREC C | PREC D | TOTAL","Presidential Primary election results by precinct, March 6 2012",one candidate (plus Blanks and TOTAL rows) in one contest,TOTAL rows per contest (Democratic presidential preference TOTAL 110),yes,messy,60,"Reads the right way up, unlike the FY2011 election tables, but MOST CELLS ARE EMPTY: every candidate name and contest heading is present while only a minority of vote counts survived. The Republican and Green-Rainbow presidential preference blocks have candidate names and no numbers at all. The Repu"
elections,2012,FY2012,104-105,"MODERATOR - For 3 years / Vote for One / SELECTMEN. For 3 years / Vote for One / SEWER COMMISSIONER - For 3 years / Vote for Two / BOARD OF HEALTH MEMBER - For 3 years / Vote for Two / ASSESSOR - For 3 years / Vote for One / SCHOOL COMMITTEE MEMBER - For 3 years / Vote for One / PARK COMMISSIONER - For 3 years / Vote for One / COMMISSIONER OF TRUST FUNDS - For 3 years / Vote for One / CEMETERY COMMISSIONER - For 3 years / Vote for One / PLANNING BOARD MEMBER - For 5 years / Vote for One / HOUSING AUTHORITY MEMBER - For 5 years / Vote for One / QUESTION 1. OVERRIDE / Shall the Town of Lunenburg be allowed to assess an additional $2,200,000.00 in real estate and personal property taxes for purposes of funding the Town Manager's FY2013 Override Budget?","Annual Town Election results by precinct, with the Proposition 2½ override question",one candidate or ballot option (plus Blanks and TOTAL) in one contest,TOTAL 920 718 840 896 3374 (repeated per single-seat contest); override TOTAL 920 718 840 896 3374,yes,clean,45,"THE MOST IMPORTANT NEWLY-LEGIBLE TABLE IN THIS DOCUMENT. The override question is complete and clean: YES 290/191/246/357 = 1084, NO 620/527/594/534 = 2275, BLANKS 15, TOTAL 3374 — defeated better than two to one, and precinct C and D split differently from A and B. Turnout 3374 against 118 at the F"
elections,2012,FY2012,106-108,"STATE PRIMARY / SEPTEMBER 6, 2012 / DEMOCRATIC PARTY / REPUBLICAN PARTY / REGISTER OF DEEDS / WORCESTER COUNTY","State Primary election results by precinct, September 6 2012",one candidate (plus Blanks and TOTAL) in one contest,TOTAL rows per contest,yes,messy,50,Partly populated. Contest headings and candidate names survive; many precinct cells are empty.
elections,2012,FY2012,109-110,"STATE ELECTION / TUESDAY NOVEMBER 6, 2012 / PRESIDENT / VICE PRESIDENT / SENATOR IN CONGRESS / REPRESENTATIVE IN CONGRESS / Third District / COUNCILLOR / Seventh District / SENATOR IN GENERAL COURT / Worcester & Middlesex District / REPRESENTATIVE IN GENERAL COURT / Thirty-Seventh Middlesex District / REPRESENTATIVE IN GENERAL COURT / Third Worcester District / REGISTER OF DEEDS / PRECA | PREC B | PRECC | PRECD | TOTAL","State Election results by precinct, November 6 2012",one candidate (plus Blanks and TOTAL) in one contest,TOTAL 1589 1341 1543 1475 5948 (repeated per contest),yes,clean,40,"Complete and legible. Romney/Ryan 3040 to Obama/Biden 2751; Brown 3595 to Warren 2316 — Lunenburg voted Republican for president and senate in a state that did not. The town is split between two state representative districts, visible here: precincts A, C and D vote in the 37th Middlesex and precinc"
elections,2012,FY2012,110-111,THE 2012 BALLOT QUESTIONS / QUESTION 1: Law Proposed Initiative Petition / WHAT YOUR VOTE WILL DO / A YES VOTE would ... / A NO VOTE would make no change in existing laws. / PREC A | PREC B | PREC C | PREC D | TOTAL,2012 state ballot questions with vote by precinct,one ballot option in one question,TOTAL 1589 1341 1543 1475 5948,yes,messy,12,"Only the medical-marijuana question's vote table survives complete (YES 3630, NO 2120, BLANKS 198, TOTAL 5948). Question 1 (right to repair) and Question 3 have their explanatory text but their vote tables are missing from the OCR. The town's totals here match the state election totals exactly, whic"
elections,2013,FY2013,91-92,SELECTMEN - For 3 years / Vote for Two / SEWER COMMISSIONER - For 3 years / Vote for Two / BOARD OF HEALTH MEMBER - For 3 years / Vote for One / ASSESSOR - For 3 years / Vote for One / TOWN CLERK - For 3 years / Vote for One / CONSTABLE - For 3 years / Vote for One / SCHOOL COMMITTEE MEMBER - For 3 years / Vote for Two / SCHOOL COMMITTEE MEMBER - For 1 year / Vote for One / COMMISSIONER OF TRUST FUNDS - For 3 years / Vote for One / CEMETERY COMMISSIONER - For 3 years / Vote for One / LIBRARY TRUSTEE - For 3 years / Vote for Two / PLANNING BOARD MEMBER - For 5 years / Vote for One / PLANNING BOARD MEMBER- For 1 year / Vote for One / HOUSING AUTHORITY MEMBER - For 5 years / Vote for One,Annual Town Election results by precinct,one candidate (plus Blanks and TOTAL) in one contest,TOTAL 564 436 482 535 2017 per single-seat contest; 1128 872 964 1070 4034 per two-seat contest,yes,messy,45,"p92 is clean; p91 IS ROW-SHIFTED — candidate names and their vote rows are offset by one line for most contests, so e.g. the SELECTMEN block prints five value rows against four labels. The TOTAL rows (2017 single-seat, 4034 two-seat) are consistent and let each contest be checked once the offset is "
elections,2014,FY2014,153-154,"ANNUAL TOWN ELECTION / SATURDAY MAY 17, 2014",Annual Town Election results by precinct,one candidate (or blanks/write-ins line) within one precinct,"each office prints its own TOTAL row: 2496 for vote-for-two offices, 1248 for vote-for-one",yes,clean,50,"'**' marks the elected candidate. Offices: Selectman (two seats), Sewer Commissioner, Board of Health (two), Assessor, School Committee (two), Park Commissioner, Commissioner of Trust Funds, Cemetery Commissioner, Library Trustee (two), Planning Board (5 years), Housing Authority (5 years). ODDITY W"
elections,2014,FY2014,155-158,"STATE PRIMARY / SEPTEMBER 9, 2014",State Primary results by precinct and party,one candidate within one precinct,Democratic TOTAL 159 / 145 / 133 / 149 / 586 per office; Republican totals on pages 157-158,yes,clean,60,"'** Elected' marks the primary winner. Democratic turnout in Lunenburg was 586 ballots. Offices include Senator in Congress, Governor, Lieutenant Governor, Attorney General, Secretary of State, Treasurer, Auditor, Representative in Congress, Councillor, Senator in General Court, Representative in Ge"
elections,2014,FY2014,159-160,"STATE ELECTION - NOVEMBER 4, 2014",State Election results by precinct,one candidate within one precinct,TOTAL 1187 / 955 / 1053 / 1052 / 4247 for every office,yes,clean,45,"Turnout 4,247 against 7,059 registered voters, about 60%. Lunenburg went Republican in every statewide race: Baker & Polito 2575 to Coakley & Kerrigan 1438; Herr over Markey 2135-1959; Miller over Healey 2104-1976; Heffernan over Goldberg 2148-1680; Saint Aubin over Bump 1947-1811 - while Galvin hel"
elections,2014,FY2014,161-163,THE 2014 BALLOT QUESTIONS,2014 ballot questions and results by precinct,one answer option within one precinct,TOTAL 1187 / 955 / 1053 / 1052 / 4247 for questions 1-4; Question 5 totals 585 YES / 221 NO in Precinct B only,yes,clean,20,"Q1 gas tax indexing: YES 2498 - Lunenburg voted to repeal indexing. Q2 bottle bill expansion: YES 732, NO 3481 - rejected almost 5 to 1. Q3 casino repeal, Q4 earned sick time (YES 2054, NO 2110 - Lunenburg narrowly voted NO on a measure that passed statewide). QUESTION 5 IS THE INTERESTING ONE: a no"
elections,2015,FY2015,201-202,"ANNUAL TOWN ELECTION / SATURDAY MAY 16, 2015",Annual town election results by precinct,one candidate (or blanks/all-others line) within one contest,each contest prints its own TOTAL row (e.g. 'TOTAL 72 56 39 80 247'),yes,messy,60,"The data is internally inconsistent and should be treated with care: SCHOOL COMMITTEE prints 'TOTAL 1128 872 964 1070 4034' while its candidate, all-others and blanks rows sum to 247; CEMETERY COMMISSIONER prints Lorraine Mendoza with 414/339/336/389/1478 against a TOTAL row of 72/56/39/80/247. Seve"
elections,2016,FY2016,192-193,"ANNUAL TOWN ELECTION / SATURDAY MAY 21, 2016",Annual town election results by precinct,one candidate (or blanks line) within one contest,"each contest prints its own TOTAL row (105/74/78/106/363 for one-seat contests, doubled for two-seat contests)",yes,clean,55,"FAR MORE INTERNALLY CONSISTENT THAN THE FY2015 EQUIVALENT -- every contest's candidate and blanks rows sum to its printed TOTAL, and the TOTAL is 363 ballots (or 726 for two-seat contests) throughout. FY2015's version had contests whose totals were off by a factor of sixteen. 363 ballots cast agains"
elections,2016,FY2016,195-196,"STATE ELECTION - NOVEMBER 8, 2016","State election results, November 8, 2016",one candidate or ballot option within one contest,TOTAL 1675 1478 1737 1550 6440 on every town-wide contest,yes,clean,45,"6,440 ballots cast -- the largest single dataset of resident preference in either report, and it is clean: every contest sums to the same 6,440. Clinton/Kaine 2938, Trump/Pence 2802, Johnson/Weld 386, Stein/Baraka 79. The two state representative contests are split by precinct: the 37th Middlesex ru"
elections,2017,FY2017,186-188,"ANNUAL TOWN ELECTION / LUNENBURG, MASSACHUSETTS / Saturday, May 20, 2017",Annual town election results by precinct,one candidate (or ALL OTHERS / BLANKS line) for one office,Per office: TOTAL 1168 for two-seat races and TOTAL 584 for one-seat races. Overall header: TOTAL REGISTERED VOTERS 1956 1813 1989 1862 7620 and BALLOTS CAST 181 97 126 180 584,yes,clean,45,"The per-office TOTAL is ballots cast times seats, so it reconciles: 584 ballots x 2 seats = 1168. Turnout was 584 of 7620 registered = 7.7%. '**ELECTED' marks winners; a single '*' marks Troy Daniels, elected Sewer Commissioner for 1 year on 3 write-in votes. Two elected candidates -- Joseph Anderso"
elections,2017,FY2017,189,"SPECIAL STATE PRIMARY NOVEMBER 05, 2017 / SPECIAL STATE ELECTION DECEMBER 07, 2017",Special state primary and special state election results,one candidate for one party ballot,Special election TOTAL 341 (partial); Republican primary TOTAL 265,yes,not without geometry,12,"Heavily OCR-damaged: precinct headers are missing or duplicated, several rows have fewer values than precincts, blanks and write-in rows are empty, and stray text ('TENSIS.', 'HOUSSYN') appears at the top. The general-election TOTAL column reads 341 where the candidate totals given (481 + 642) imply"
elections,2018,FY2018,234-236,"TALLY SHEET / ANNUAL TOWN ELECTION / LUNENBURG, MASSACHUSETTS / Saturday, May 19, 2018",Annual town election results by precinct,one candidate (or ALL OTHERS / BLANKS line) for one office,"TOTAL REGISTERED VOTERS 1947 1856 2141 1855 7799; BALLOTS CAST (PER BALLOT BOX) 378 221 240 362 1201; per-office TOTAL 1201 (one seat), 2402 (two seats), 3603 (three seats)",yes,clean,50,"The heading gains the words 'TALLY SHEET' and the ballots-cast row gains '(PER BALLOT BOX)' -- both new versus FY2017, and the second is a provenance note about how the count was taken. Turnout 1201 of 7799 = 15.4%, double FY2017's 7.7%, driven by a contested three-way Selectman race decided by 13 v"
