video_id,board_slug,board_name,title_stem,meetings_folder,in_agenda_center,meeting_date,classification_source,classified_by,classified_at
Gsvig_sJHLw,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2024-09-18,model,claude-opus-5 (1M context),2026-09-08
tL34lNUIWMM,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-09-18,model,claude-opus-5 (1M context),2026-09-08
9qdv6bxoDSE,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-09-18,model,claude-opus-5 (1M context),2026-09-08
et8rDbzGU0A,select-board,Select Board,Select Board,select-board,yes,2024-09-17,model,claude-opus-5 (1M context),2026-09-08
k63Lr_-ks44,budget-task-force,Budget Task Force,Budget Task Force,budget-task-force,yes,2024-09-16,model,claude-opus-5 (1M context),2026-09-08
QiKHzyzEJAQ,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-09-12,model,claude-opus-5 (1M context),2026-09-08
lCXUDW94iis,architectural-preservation-district-commission,Architectural Preservation District Commission,Architectural Preservation District Commission,architectural-preservation-district-commission,yes,2024-09-12,model,claude-opus-5 (1M context),2026-09-08
wpcB837-iWA,green-community-task-force,Green Community Task Force,Green Community Task Force,,NO,2024-09-12,model,claude-opus-5 (1M context),2026-09-08
95L99sVr0MU,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-09-11,model,claude-opus-5 (1M context),2026-09-08
XkSHiKyyU2o,town-manager-screening-committee,Town Manager Screening Committee,Town Manager Screening Committee,town-manager-screening-committee,yes,2024-09-11,model,claude-opus-5 (1M context),2026-09-08
q-UIAuyjj38,open-space-committee,Open Space Committee,Open Space Committee,open-space-committee,yes,2024-09-11,model,claude-opus-5 (1M context),2026-09-08
c7G5rcN2H1g,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2024-09-11,model,claude-opus-5 (1M context),2026-09-08
DMgRQqhERMk,select-board,Select Board,Select Board,select-board,yes,2024-09-10,model,claude-opus-5 (1M context),2026-09-08
FKX66Qf5_xA,lunenburg-water-district,Lunenburg Water District,Water District - Full Meeting,,NO,2024-08-28,model,claude-opus-5 (1M context),2026-09-08
O5apGU3rlO8,council-on-aging,Council on Aging,Council on Aging,council-on-aging,yes,2024-09-10,model,claude-opus-5 (1M context),2026-09-08
DX5UWU3jWfU,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2024-09-09,model,claude-opus-5 (1M context),2026-09-08
JY488mnrzrs,lunenburg-municipal-building-design-committee,Lunenburg Municipal Building Design Committee,Municipal Building Design Committee,lunenburg-municipal-building-design-committee,yes,2024-09-09,model,claude-opus-5 (1M context),2026-09-08
6UmfnngCZP8,planning-board,Planning Board,Planning Board,planning-board,yes,2024-09-09,model,claude-opus-5 (1M context),2026-09-08
rjPfHPmzPII,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-09-04,model,claude-opus-5 (1M context),2026-09-08
qlBSMCGeZF0,school-committee,School Committee,School Committee,school-committee,yes,2024-09-04,model,claude-opus-5 (1M context),2026-09-08
uSa2d14BtmI,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-09-04,model,claude-opus-5 (1M context),2026-09-08
0qgDLg6ni4k,school-committee,School Committee,School Committee,school-committee,yes,2024-09-04,model,claude-opus-5 (1M context),2026-09-08
SUym2D7xXYM,select-board,Select Board,Select Board,select-board,yes,2024-09-03,model,claude-opus-5 (1M context),2026-09-08
oDHHNu9Odzc,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-08-28,model,claude-opus-5 (1M context),2026-09-08
fgYCjvNQdMU,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2024-08-28,model,claude-opus-5 (1M context),2026-09-08
L0rqWqZ4FnI,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2024-08-27,model,claude-opus-5 (1M context),2026-09-08
7CtboEsw7Jk,planning-board,Planning Board,Planning Board,planning-board,yes,2024-08-26,model,claude-opus-5 (1M context),2026-09-08
NxWpn3eRjaA,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-08-22,model,claude-opus-5 (1M context),2026-09-08
3D6BvQeqTWc,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2024-08-21,model,claude-opus-5 (1M context),2026-09-08
oik5FsUDfxg,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2024-08-21,model,claude-opus-5 (1M context),2026-09-08
CJEQ188X8uk,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-08-21,model,claude-opus-5 (1M context),2026-09-08
MMciKy1DZ5A,select-board,Select Board,Select Board,select-board,yes,2024-08-20,model,claude-opus-5 (1M context),2026-09-08
KawFgJw93MU,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-08-19,model,claude-opus-5 (1M context),2026-09-08
bQ4tpLW0DqM,green-community-task-force,Green Community Task Force,Green Community Task Force,,NO,2024-08-19,model,claude-opus-5 (1M context),2026-09-08
QZPSFS_opfA,school-committee,School Committee,School Committee Special Meeting,school-committee,yes,2024-08-16,model,claude-opus-5 (1M context),2026-09-08
l_64JaMrAzA,budget-task-force,Budget Task Force,Budget Task Force,budget-task-force,yes,2024-08-19,model,claude-opus-5 (1M context),2026-09-08
UdIXf-s6Iac,town-manager-screening-committee,Town Manager Screening Committee,Town Manager Screening Committee,town-manager-screening-committee,yes,2024-08-19,model,claude-opus-5 (1M context),2026-09-08
ohy-y8iAn7g,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-08-14,model,claude-opus-5 (1M context),2026-09-08
G0-3pHLDhxQ,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2024-08-14,model,claude-opus-5 (1M context),2026-09-08
cs-405mk2bU,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2024-08-14,model,claude-opus-5 (1M context),2026-09-08
pvaQaklHi78,select-board,Select Board,Select Board,select-board,yes,2024-08-13,model,claude-opus-5 (1M context),2026-09-08
uUd8ne70POA,planning-board,Planning Board,Planning Board,planning-board,yes,2024-08-12,model,claude-opus-5 (1M context),2026-09-08
h1cYJrs4jEE,architectural-preservation-district-commission,Architectural Preservation District Commission,Architectural Preservation District Commission,architectural-preservation-district-commission,yes,2024-08-08,model,claude-opus-5 (1M context),2026-09-08
NVJX1vLTenM,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-08-08,model,claude-opus-5 (1M context),2026-09-08
e52PjwJitt0,school-committee,School Committee,School Committee,school-committee,yes,2024-08-07,model,claude-opus-5 (1M context),2026-09-08
1wCUXj19Wt4,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-08-07,model,claude-opus-5 (1M context),2026-09-08
rc_fGzmDyd0,select-board,Select Board,Select Board,select-board,yes,2024-08-06,model,claude-opus-5 (1M context),2026-09-08
wW9c6kwCGN0,budget-task-force,Budget Task Force,Budget Task Force,budget-task-force,yes,2024-08-05,model,claude-opus-5 (1M context),2026-09-08
rsrFmsWdv78,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2024-08-05,model,claude-opus-5 (1M context),2026-09-08
e_RYyxJdkIM,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2024-07-31,model,claude-opus-5 (1M context),2026-09-08
zLy4klE6WJw,capital-planning-committee,Capital Planning Committee,Capital Planning Committee,capital-planning-committee,yes,2024-07-31,model,claude-opus-5 (1M context),2026-09-08
iCjSdVhLOVg,town-manager-screening-committee,Town Manager Screening Committee,Town Manager Screening Committee,town-manager-screening-committee,yes,2024-07-31,model,claude-opus-5 (1M context),2026-09-08
zaKZlXSQDAg,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2024-07-30,model,claude-opus-5 (1M context),2026-09-08
msr_H0y0vX4,open-space-committee,Open Space Committee,Open Space Committee,open-space-committee,yes,2024-07-30,model,claude-opus-5 (1M context),2026-09-08
5rEAj6RYh0I,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-07-29,model,claude-opus-5 (1M context),2026-09-08
tP9MFTbiG1Q,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-07-24,model,claude-opus-5 (1M context),2026-09-08
Pb36QXiRzhE,school-committee,School Committee,School Committee,school-committee,yes,2024-07-25,model,claude-opus-5 (1M context),2026-09-08
RnTrjkRl38g,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-07-25,model,claude-opus-5 (1M context),2026-09-08
ENM4Z2DMni0,economic-development-committee,Economic Development Committee,Economic Development Committee,economic-development-committee,yes,2024-07-25,model,claude-opus-5 (1M context),2026-09-08
J272NovY6VY,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2024-07-25,model,claude-opus-5 (1M context),2026-09-08
xxfym741obU,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board,zoning-board-of-appeals,yes,2024-07-24,model,claude-opus-5 (1M context),2026-09-08
jATzS-kn0UA,select-board,Select Board,Select Board,select-board,yes,2024-07-23,model,claude-opus-5 (1M context),2026-09-08
kzhYLA_JwDw,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-07-10,model,claude-opus-5 (1M context),2026-09-08
xtjiu8IxLTs,budget-task-force,Budget Task Force,Budget Task Force,budget-task-force,yes,2024-07-22,model,claude-opus-5 (1M context),2026-09-08
1Rx5x_-HbtA,planning-board,Planning Board,Planning Board,planning-board,yes,2024-07-22,model,claude-opus-5 (1M context),2026-09-08
-7ZtazAGkKk,town-manager-screening-committee,Town Manager Screening Committee,Town Manager Screening Committee,town-manager-screening-committee,yes,2024-07-17,model,claude-opus-5 (1M context),2026-09-08
SRmiYunIu5g,town-manager-screening-committee,Town Manager Screening Committee,Town Manager Screening Committee,town-manager-screening-committee,yes,2024-07-10,model,claude-opus-5 (1M context),2026-09-08
xFliMii1NhE,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-07-17,model,claude-opus-5 (1M context),2026-09-08
Lnsx-Q4U58M,select-board,Select Board,Select Board,select-board,yes,2024-07-17,model,claude-opus-5 (1M context),2026-09-08
exKS--Ch4ao,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-07-10,model,claude-opus-5 (1M context),2026-09-08
7EEY2Mndjc8,select-board,Select Board,Select Board,select-board,yes,2024-07-16,model,claude-opus-5 (1M context),2026-09-08
mSx3zqgGurk,green-community-task-force,Green Community Task Force,Green Community Task Force,,NO,2024-07-15,model,claude-opus-5 (1M context),2026-09-08
oSUYIkdylyw,architectural-preservation-district-commission,Architectural Preservation District Commission,Architectural Preservation District Commission,architectural-preservation-district-commission,yes,2024-07-11,model,claude-opus-5 (1M context),2026-09-08
C9H6v6mU4RU,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-07-11,model,claude-opus-5 (1M context),2026-09-08
tXLj2kT5hUY,budget-task-force,Budget Task Force,Budget Task Force,budget-task-force,yes,2024-07-11,model,claude-opus-5 (1M context),2026-09-08
XsuvvhUpGco,capital-planning-committee,Capital Planning Committee,Capital Planning Committee,capital-planning-committee,yes,2024-07-10,model,claude-opus-5 (1M context),2026-09-08
egyT-FdePIU,open-space-committee,Open Space Committee,Open Space Committee,open-space-committee,yes,2024-07-10,model,claude-opus-5 (1M context),2026-09-08
5ONV-Xbgmfg,planning-board,Planning Board,Planning Board,planning-board,yes,2024-07-08,model,claude-opus-5 (1M context),2026-09-08
_ibvI8f79QE,select-board,Select Board,Select Board,select-board,yes,2024-07-09,model,claude-opus-5 (1M context),2026-09-08
kGwWOgXgxt8,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2024-07-01,model,claude-opus-5 (1M context),2026-09-08
ant2Dcu8ey8,economic-development-committee,Economic Development Committee,Economic Development Committee,economic-development-committee,yes,2024-06-27,model,claude-opus-5 (1M context),2026-09-08
6T9AW_n9oqA,lunenburg-water-district,Lunenburg Water District,Lunenburg Water District Meeting,,NO,2024-06-26,model,claude-opus-5 (1M context),2026-09-08
NcSeV3TpZxw,finance-committee,Finance Committee,Lunenburg Finance Committee,finance-committee,yes,2024-06-27,model,claude-opus-5 (1M context),2026-09-08
ADNePNHauu8,school-committee,School Committee,School Committee,school-committee,yes,2024-06-26,model,claude-opus-5 (1M context),2026-09-08
TcUAQbA_Jvg,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2024-06-25,model,claude-opus-5 (1M context),2026-09-08
An5ad_AbjaA,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2024-06-25,model,claude-opus-5 (1M context),2026-09-08
YDIiIZY6i5g,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2024-06-20,model,claude-opus-5 (1M context),2026-09-08
YnVjUza2w6s,planning-board,Planning Board,Planning Board,planning-board,yes,2024-06-24,model,claude-opus-5 (1M context),2026-09-08
9wMexmNYmPE,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2024-06-20,model,claude-opus-5 (1M context),2026-09-08
bGyAQNXqiRQ,select-board,Select Board,Select Board,select-board,yes,2024-06-18,model,claude-opus-5 (1M context),2026-09-08
vKVBuowKUeE,architectural-preservation-district-commission,Architectural Preservation District Commission,Architectural Preservation District Commission,architectural-preservation-district-commission,yes,2024-06-13,model,claude-opus-5 (1M context),2026-09-08
G9lDlqVbghA,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-06-12,model,claude-opus-5 (1M context),2026-09-08
bRBKCpRoj9Y,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-06-13,model,claude-opus-5 (1M context),2026-09-08
VyeLYKbCGYg,school-committee,School Committee,School Committee,school-committee,yes,2024-06-12,model,claude-opus-5 (1M context),2026-09-08
f8-YB67yLhE,select-board,Select Board,Select Board,select-board,yes,2024-06-11,model,claude-opus-5 (1M context),2026-09-08
Xt5AE5OkCM0,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-06-10,model,claude-opus-5 (1M context),2026-09-08
4cIueaaiQp0,planning-board,Planning Board,Planning Board,planning-board,yes,2024-06-10,model,claude-opus-5 (1M context),2026-09-08
2chgblFFlEk,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-06-05,model,claude-opus-5 (1M context),2026-09-08
wHfHHwQMHoI,school-committee,School Committee,School Committee,school-committee,yes,2024-06-05,model,claude-opus-5 (1M context),2026-09-08
hEPTyqswe4c,select-board,Select Board,Select Board,select-board,yes,2024-06-04,model,claude-opus-5 (1M context),2026-09-08
usOT9rVMmUU,green-community-task-force,Green Community Task Force,Green Community Task Force,,NO,2024-06-03,model,claude-opus-5 (1M context),2026-09-08
TKqbmVdi2bM,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2024-06-03,model,claude-opus-5 (1M context),2026-09-08
fbkwRTEKpcc,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-06-03,model,claude-opus-5 (1M context),2026-09-08
fNxB41qcJ64,personnel-committee,Personnel Committee,Personnel Committee,personnel-committee,yes,2024-05-29,model,claude-opus-5 (1M context),2026-09-08
AwcC2ny4D5U,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-05-22,model,claude-opus-5 (1M context),2026-09-08
yGE1_U8665E,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-05-23,model,claude-opus-5 (1M context),2026-09-08
4n_lCBt5j_o,school-committee,School Committee,School Comm,school-committee,yes,2024-05-22,model,claude-opus-5 (1M context),2026-09-08
Tq_w3Z0cPxc,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2024-05-22,model,claude-opus-5 (1M context),2026-09-08
ddbUPQzXt_w,select-board,Select Board,Select Board,select-board,yes,2024-05-21,model,claude-opus-5 (1M context),2026-09-08
9lAulJ7JHH4,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-05-20,model,claude-opus-5 (1M context),2026-09-08
6NpiFgpgYRA,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2024-05-16,model,claude-opus-5 (1M context),2026-09-08
_OjFupFJZZQ,lunenburg-water-district,Lunenburg Water District,Water District Special Meeting,,NO,2024-05-16,model,claude-opus-5 (1M context),2026-09-08
trOShxlHHO0,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2024-05-16,model,claude-opus-5 (1M context),2026-09-08
FVvWpsTlMcM,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2024-05-15,model,claude-opus-5 (1M context),2026-09-08
vtRLgSbKg9M,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-05-15,model,claude-opus-5 (1M context),2026-09-08
ECZH1UBmjng,master-plan-steering-committee,Master Plan Steering Committee,Master Plan Steering Committee,master-plan-steering-committee,yes,2024-05-15,model,claude-opus-5 (1M context),2026-09-08
PqWfYHfBfHM,select-board,Select Board,Select Board,select-board,yes,2024-05-14,model,claude-opus-5 (1M context),2026-09-08
FY251RQj7XM,school-committee,School Committee,School Committee,school-committee,yes,2024-05-14,model,claude-opus-5 (1M context),2026-09-08
Qyw2YjpfC-E,planning-board,Planning Board,Planning Board,planning-board,yes,2024-05-13,model,claude-opus-5 (1M context),2026-09-08
OG1NMUPfpYc,architectural-preservation-district-commission,Architectural Preservation District Commission,Architectural Presevation District Commission,architectural-preservation-district-commission,yes,2024-05-09,model,claude-opus-5 (1M context),2026-09-08
kHFn7wVujZs,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-05-08,model,claude-opus-5 (1M context),2026-09-08
dO7n5fBtuww,select-board,Select Board,Select Board,select-board,yes,2024-05-08,model,claude-opus-5 (1M context),2026-09-08
vyEG_0R3EKA,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-05-06,model,claude-opus-5 (1M context),2026-09-08
aXzBiF_sShI,green-community-task-force,Green Community Task Force,Green Community Task Force,,NO,2024-05-06,model,claude-opus-5 (1M context),2026-09-08
GAIximluwSE,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2024-05-06,model,claude-opus-5 (1M context),2026-09-08
1E6ws5rr8E4,town-meeting,Town Meeting,Annual Town Meeting,,NO,2024-05-04,model,claude-opus-5 (1M context),2026-09-08
FAc9kLhIeEk,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-05-01,model,claude-opus-5 (1M context),2026-09-08
BZaMa3F272M,school-committee,School Committee,School Committee,school-committee,yes,2024-05-01,model,claude-opus-5 (1M context),2026-09-08
OkKAA9ng5B8,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2024-04-30,model,claude-opus-5 (1M context),2026-09-08
yJPvSLgD0Jc,select-board,Select Board,Select Board,select-board,yes,2024-04-30,model,claude-opus-5 (1M context),2026-09-08
rYpKNfbACBU,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-04-11,model,claude-opus-5 (1M context),2026-09-08
9vGRGqbGkX8,planning-board,Planning Board,Planning Board,planning-board,yes,2024-04-08,model,claude-opus-5 (1M context),2026-09-08
ahd8iCDNKzo,economic-development-committee,Economic Development Committee,Economic Development Committee,economic-development-committee,yes,2024-04-25,model,claude-opus-5 (1M context),2026-09-08
QFXOYqQgz70,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2024-04-24,model,claude-opus-5 (1M context),2026-09-08
gAy4JC0EK40,architectural-preservation-district-commission,Architectural Preservation District Commission,Architectural Preservation District Commission,architectural-preservation-district-commission,yes,2024-04-09,model,claude-opus-5 (1M context),2026-09-08
PkxDgf8YlsM,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2024-04-18,model,claude-opus-5 (1M context),2026-09-08
1B3ja9iw4rs,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-04-25,model,claude-opus-5 (1M context),2026-09-08
nA2-m_4cHJ8,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2024-04-25,model,claude-opus-5 (1M context),2026-09-08
dzPxqufDNtc,select-board,Select Board,Select Board,select-board,yes,2024-04-23,model,claude-opus-5 (1M context),2026-09-08
1QTLqK9aG1U,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-04-22,model,claude-opus-5 (1M context),2026-09-08
1ose_b4ac2Y,planning-board,Planning Board,Planning Board,planning-board,yes,2024-04-22,model,claude-opus-5 (1M context),2026-09-08
Sfxtoj9vUuA,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-04-17,model,claude-opus-5 (1M context),2026-09-08
vzRb9foxeuQ,lunenburg-water-district,Lunenburg Water District,Water District Commissioner's Meeting,,NO,2024-04-10,model,claude-opus-5 (1M context),2026-09-08
5Jzd5Rb6Lrw,school-committee,School Committee,Lunenburg School Committee,school-committee,yes,2024-04-10,model,claude-opus-5 (1M context),2026-09-08
ChcTZJ9qJC8,zoning-board-of-appeals,Zoning Board of Appeals,Lunenburg Zoning Board of Appeals,zoning-board-of-appeals,yes,2024-04-10,model,claude-opus-5 (1M context),2026-09-08
gcuQKSW2XI4,select-board,Select Board,Lunenburg Select Board Meeting,select-board,yes,2024-04-09,model,claude-opus-5 (1M context),2026-09-08
bV0-g6td6Hg,sewer-commission,Sewer Commission,Lunenburg Sewer Commission,sewer-commission,yes,2024-04-09,model,claude-opus-5 (1M context),2026-09-08
eXm-rGTENhM,master-plan-steering-committee,Master Plan Steering Committee,Master Planning Steering Committee,master-plan-steering-committee,yes,2024-04-05,model,claude-opus-5 (1M context),2026-09-08
_PCUMXOxLLw,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-04-04,model,claude-opus-5 (1M context),2026-09-08
cz6onv_nIJU,conservation-commission,Conservation Commission,Conservation Commission Part 2,conservation-commission,yes,2024-04-03,model,claude-opus-5 (1M context),2026-09-08
0LH19oUbp50,conservation-commission,Conservation Commission,Conservation Commission Part 1,conservation-commission,yes,2024-04-03,model,claude-opus-5 (1M context),2026-09-08
BoMEMfRTJkk,school-committee,School Committee,School Committee,school-committee,yes,2024-04-03,model,claude-opus-5 (1M context),2026-09-08
mYRG0Z1-GIc,select-board,Select Board,Select Board,select-board,yes,2024-04-02,model,claude-opus-5 (1M context),2026-09-08
rX_FD6xaaNM,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-04-01,model,claude-opus-5 (1M context),2026-09-08
9dK5_9DfhCU,green-community-task-force,Green Community Task Force,Green Community Task Force,,NO,2024-04-01,model,claude-opus-5 (1M context),2026-09-08
zJbiUsvGoNM,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2024-04-01,model,claude-opus-5 (1M context),2026-09-08
ZO6a0VTi0gM,lunenburg-water-district,Lunenburg Water District,Water District Annual Meeting,,NO,2024-03-30,model,claude-opus-5 (1M context),2026-09-08
RhOu9USDLak,personnel-committee,Personnel Committee,Personnel Committee,personnel-committee,yes,2024-03-28,model,claude-opus-5 (1M context),2026-09-08
ngIQ-Un4pTI,school-committee,School Committee,School Committee,school-committee,yes,2024-03-27,model,claude-opus-5 (1M context),2026-09-08
sR9lACvvjJo,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-03-28,model,claude-opus-5 (1M context),2026-09-08
3eOik-5hkmA,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2024-03-27,model,claude-opus-5 (1M context),2026-09-08
UMZ11C3Jn8k,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-03-27,model,claude-opus-5 (1M context),2026-09-08
Jdq7vk5yLKc,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2024-03-27,model,claude-opus-5 (1M context),2026-09-08
SxNLdwFAFsc,select-board,Select Board,Select Board,select-board,yes,2024-03-26,model,claude-opus-5 (1M context),2026-09-08
_LKmx6PKAJ4,planning-board,Planning Board,Planning Board,planning-board,yes,2024-03-25,model,claude-opus-5 (1M context),2026-09-08
5auQ8RlmtsE,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-03-21,model,claude-opus-5 (1M context),2026-09-08
J77AWts1LIE,lunenburg-water-district,Lunenburg Water District,Water District (Presentation View),,NO,2024-03-18,model,claude-opus-5 (1M context),2026-09-08
9gMaxzZxV2w,school-committee,School Committee,School Committee,school-committee,yes,2024-03-20,model,claude-opus-5 (1M context),2026-09-08
djsvmiCll7g,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2024-03-20,model,claude-opus-5 (1M context),2026-09-08
ADYe_LL5Y2I,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-03-20,model,claude-opus-5 (1M context),2026-09-08
TYlfUkYB6EM,lunenburg-water-district,Lunenburg Water District,Water District (Full),,NO,2024-03-18,model,claude-opus-5 (1M context),2026-09-08
N7IoCxrNyCo,select-board,Select Board,Select Board,select-board,yes,2024-03-19,model,claude-opus-5 (1M context),2026-09-08
yVm4NYMmp7o,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2024-03-18,model,claude-opus-5 (1M context),2026-09-08
holFjmBBsmM,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-03-14,model,claude-opus-5 (1M context),2026-09-08
oNBD7N5K32U,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2024-03-13,model,claude-opus-5 (1M context),2026-09-08
0YPuiSWG9YY,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2024-03-14,model,claude-opus-5 (1M context),2026-09-08
rEznz0ju54s,open-space-committee,Open Space Committee,Open Space Committee,open-space-committee,yes,2024-03-13,model,claude-opus-5 (1M context),2026-09-08
hgtPGLGAiCY,personnel-committee,Personnel Committee,Personnel Committee,personnel-committee,yes,2024-03-13,model,claude-opus-5 (1M context),2026-09-08
heIX4acnxRQ,select-board,Select Board,Select Board,select-board,yes,2024-03-12,model,claude-opus-5 (1M context),2026-09-08
5gS4n3c5Yc0,architectural-preservation-district-commission,Architectural Preservation District Commission,Architectural Preservation District Commission,architectural-preservation-district-commission,yes,2024-03-12,model,claude-opus-5 (1M context),2026-09-08
0EAiIjTDV5I,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2024-03-12,model,claude-opus-5 (1M context),2026-09-08
4eJ11_7Oaaw,school-committee,School Committee,Lunenburg School Committee Special Meeting,school-committee,yes,2024-03-11,model,claude-opus-5 (1M context),2026-09-08
cCyIxI75GDU,personnel-committee,Personnel Committee,Personnel Committee,personnel-committee,yes,2024-03-11,model,claude-opus-5 (1M context),2026-09-08
tnGa6QMY3Qg,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2024-03-11,model,claude-opus-5 (1M context),2026-09-08
U0WTv-h8CI4,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2024-03-07,model,claude-opus-5 (1M context),2026-09-08
E_5szEIz33k,green-community-task-force,Green Community Task Force,Green Community Task Force,,NO,2024-03-06,model,claude-opus-5 (1M context),2026-09-08
Htw5CataAv8,master-plan-steering-committee,Master Plan Steering Committee,Master Plan Steering Committee,master-plan-steering-committee,yes,2024-03-07,model,claude-opus-5 (1M context),2026-09-08
JV9mZXgfwdE,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2024-03-07,model,claude-opus-5 (1M context),2026-09-08
YHcTadiWd5s,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2024-03-06,model,claude-opus-5 (1M context),2026-09-08
